transaction_id,parent_transaction_id,transaction_date,receipt_num,total_amount,payment_method,status,notes
60,,2025-01-06,957538,43166.85,CASH,CONFIRMED,
61,,2025-01-06,527996,14150.98,CASH,PENDING,
62,,2025-01-06,729093,111601.9,CASH,CONFIRMED,
63,,2025-01-06,808341,72171.67,E-WALLET,CONFIRMED,
64,,2025-01-06,576586,85085.1,CASH,CONFIRMED,
65,,2025-01-06,962556,30038.87,CASH,CONFIRMED,
66,,2025-01-06,600210,38633.29,CASH,CONFIRMED,
67,,2025-01-06,242074,-26647.9,CASH,REFUNDED,
68,,2025-01-06,676540,69449.84,CASH,CONFIRMED,
69,,2025-01-06,693590,11549.64,CASH,CONFIRMED,
70,,2025-01-07,999808,64316.42,CASH,CONFIRMED,
71,,2025-01-07,882262,42113.2,E-WALLET,CONFIRMED,
72,,2025-01-07,982169,74988.89,E-WALLET,CONFIRMED,
73,,2025-01-07,433846,-68774.9,CASH,REFUNDED,
74,,2025-01-07,346090,94251.26,CASH,CONFIRMED,
75,,2025-01-07,300421,-23916.33,CASH,REFUNDED,
76,,2025-01-07,154617,12342.8,E-WALLET,CONFIRMED,
77,,2025-01-07,172869,31623.84,E-WALLET,CONFIRMED,
78,,2025-01-07,170412,109969.92,CASH,CONFIRMED,
79,,2025-01-08,169399,79588.61,BANK,CONFIRMED,
80,,2025-01-08,643503,-22069.98,E-WALLET,REFUNDED,
81,,2025-01-08,937187,152587.26,CASH,CANCELLED,
82,,2025-01-08,396047,-119420.6,E-WALLET,REFUNDED,
83,,2025-01-08,108952,22594.65,BANK,CONFIRMED,
84,,2025-01-09,565257,79543.28,BANK,CONFIRMED,
85,,2025-01-09,228445,4681.06,E-WALLET,CONFIRMED,
86,,2025-01-09,869624,48378.81,CASH,CONFIRMED,
87,,2025-01-09,387174,-143823.06,E-WALLET,REFUNDED,
88,,2025-01-09,579881,25725.84,CASH,CONFIRMED,
89,,2025-01-09,348485,91467.9,E-WALLET,CONFIRMED,
90,,2025-01-09,644831,26860.09,BANK,CANCELLED,
91,,2025-01-09,496869,70031.48,BANK,CONFIRMED,
92,,2025-01-09,740951,109777.66,CASH,CONFIRMED,
93,,2025-01-09,469691,26136.43,CASH,CANCELLED,
94,,2025-01-09,549251,10031.97,CASH,CONFIRMED,
95,,2025-01-09,195087,986.56,E-WALLET,CONFIRMED,
96,,2025-01-10,158450,-112870.41,E-WALLET,REFUNDED,
97,,2025-01-10,975151,129162.58,CASH,PENDING,
98,,2025-01-10,566093,19274.22,E-WALLET,CONFIRMED,
99,,2025-01-10,596750,-54801.79,CASH,REFUNDED,
100,,2025-01-10,536713,57865.94,CASH,CANCELLED,
101,,2025-01-10,818889,107393.78,CASH,CONFIRMED,
102,,2025-01-10,231789,78163.08,E-WALLET,CONFIRMED,
103,,2025-01-10,132088,30789.08,BANK,CONFIRMED,
104,,2025-01-10,788349,176262.66,E-WALLET,CONFIRMED,
105,,2025-01-10,650251,122676.05,CASH,CONFIRMED,
106,,2025-01-11,210389,109176.64,CASH,CANCELLED,
107,,2025-01-11,354945,139867.65,E-WALLET,CONFIRMED,
108,,2025-01-11,120368,119997.33,E-WALLET,CONFIRMED,
109,,2025-01-11,620451,68269.89,CASH,CONFIRMED,
110,,2025-01-11,459748,72718.66,BANK,CANCELLED,
111,,2025-01-11,269004,14743.0,CASH,CONFIRMED,
112,,2025-01-11,757977,31896.87,CASH,CONFIRMED,
113,,2025-01-11,461774,61529.76,BANK,CONFIRMED,
114,,2025-01-11,872098,968.7,BANK,CONFIRMED,
115,,2025-01-12,477903,58963.64,CASH,CONFIRMED,
116,,2025-01-12,189429,70119.07,BANK,CONFIRMED,
117,,2025-01-12,940134,188994.22,E-WALLET,CONFIRMED,
118,,2025-01-12,686862,11737.44,CASH,CONFIRMED,
119,,2025-01-12,633020,101271.32,CASH,CONFIRMED,
120,,2025-01-12,442412,79900.97,BANK,CONFIRMED,
121,,2025-01-12,203791,86706.01,CASH,CONFIRMED,
122,,2025-01-12,871036,-60048.47,CASH,REFUNDED,
123,,2025-01-12,944552,4501.2,CASH,CONFIRMED,
124,,2025-01-12,850132,-20398.15,CASH,REFUNDED,
125,,2025-01-12,850910,113611.63,BANK,CONFIRMED,
126,,2025-01-12,629870,2873.25,CASH,CONFIRMED,
127,,2025-01-12,531315,37031.19,CASH,CONFIRMED,
128,,2025-01-12,227152,34260.53,E-WALLET,CONFIRMED,
129,,2025-01-12,554120,-47384.29,E-WALLET,REFUNDED,
130,,2025-01-13,546855,113106.48,CASH,CONFIRMED,
131,,2025-01-13,200487,95292.25,CASH,CONFIRMED,
132,,2025-01-13,456110,-7473.3,E-WALLET,REFUNDED,
133,,2025-01-13,573868,73811.29,CASH,CONFIRMED,
134,,2025-01-13,162014,49490.91,CASH,PENDING,
135,,2025-01-13,717797,65738.37,BANK,CONFIRMED,
136,,2025-01-13,661930,2832.12,CASH,CONFIRMED,
137,,2025-01-13,586325,54853.26,CASH,CONFIRMED,
138,,2025-01-14,729193,-126016.08,CASH,REFUNDED,
139,,2025-01-14,354415,172353.47,CASH,CONFIRMED,
140,,2025-01-14,228359,132521.51,CASH,CONFIRMED,
141,,2025-01-14,843813,165870.2,CASH,CONFIRMED,
142,,2025-01-14,969892,14778.64,CASH,CONFIRMED,
143,,2025-01-14,991859,61031.28,CASH,CONFIRMED,
144,,2025-01-14,376908,199989.3,CASH,CONFIRMED,
145,,2025-01-15,724454,100882.95,E-WALLET,CONFIRMED,
146,,2025-01-15,689832,57198.78,CASH,CONFIRMED,
147,,2025-01-15,670263,15326.31,CASH,PENDING,
148,,2025-01-15,538720,79597.79,BANK,CONFIRMED,
149,,2025-01-15,130043,20431.96,CASH,CONFIRMED,
150,,2025-01-15,264695,15512.82,CASH,CONFIRMED,
151,,2025-01-15,393939,96935.24,E-WALLET,CONFIRMED,
152,,2025-01-15,700663,36779.17,CASH,CONFIRMED,
153,,2025-01-15,596442,32072.88,CASH,CONFIRMED,
154,,2025-01-15,620038,45370.01,CASH,CONFIRMED,
155,,2025-01-15,108268,75146.91,E-WALLET,CONFIRMED,
156,,2025-01-15,546343,42685.74,E-WALLET,PENDING,
157,,2025-01-15,827219,68196.32,CASH,CONFIRMED,
158,,2025-01-15,891643,148559.35,CASH,CONFIRMED,
159,,2025-01-15,620061,78790.76,CASH,CONFIRMED,
160,,2025-01-15,598413,46747.62,CASH,CONFIRMED,
161,,2025-01-15,720718,-56334.84,BANK,REFUNDED,
162,,2025-01-15,570068,192125.79,CASH,CANCELLED,
163,,2025-01-15,945574,71360.79,E-WALLET,CONFIRMED,
164,,2025-01-15,559107,26096.04,CASH,CONFIRMED,
165,,2025-01-16,906414,7273.98,CASH,CONFIRMED,
166,,2025-01-16,118047,82817.46,BANK,CONFIRMED,
167,,2025-01-16,706267,78431.25,E-WALLET,CONFIRMED,
168,,2025-01-16,146834,63299.24,CASH,CONFIRMED,
169,,2025-01-16,965789,133226.1,E-WALLET,CONFIRMED,
170,,2025-01-16,647635,24827.81,CASH,CONFIRMED,
171,,2025-01-16,625720,32355.5,CASH,CONFIRMED,
172,,2025-01-17,596960,114100.42,E-WALLET,CONFIRMED,
173,,2025-01-17,102800,128834.86,BANK,CONFIRMED,
174,,2025-01-17,195655,28312.08,CASH,CONFIRMED,
175,,2025-01-17,467249,10563.47,CASH,CONFIRMED,
176,,2025-01-17,589777,13152.42,CASH,CONFIRMED,
177,,2025-01-17,943353,75174.07,CASH,CONFIRMED,
178,,2025-01-17,844329,76237.92,E-WALLET,CONFIRMED,
179,,2025-01-17,979609,59905.26,BANK,CANCELLED,
180,,2025-01-17,950261,151437.03,E-WALLET,CONFIRMED,
181,,2025-01-18,222074,70732.32,CASH,CONFIRMED,
182,,2025-01-18,232617,81167.91,CASH,CONFIRMED,
183,,2025-01-18,601799,50813.7,CASH,CONFIRMED,
184,,2025-01-18,703511,147234.66,E-WALLET,CANCELLED,
185,,2025-01-18,426783,118081.06,CASH,CONFIRMED,
186,,2025-01-18,869371,45147.28,CASH,CONFIRMED,
187,,2025-01-18,916362,12734.76,CASH,CONFIRMED,
188,,2025-01-18,541844,175870.68,CASH,CONFIRMED,
189,,2025-01-18,270092,30767.46,CASH,CONFIRMED,
190,,2025-01-18,641037,115150.87,E-WALLET,CONFIRMED,
191,,2025-01-18,446563,102758.99,CASH,CONFIRMED,
192,,2025-01-18,835261,24386.37,CASH,CONFIRMED,
193,,2025-01-18,582972,61421.08,CASH,CONFIRMED,
194,,2025-01-18,967467,55720.49,CASH,CONFIRMED,
195,,2025-01-18,325549,78211.68,CASH,CONFIRMED,
196,,2025-01-18,593597,12313.14,BANK,CONFIRMED,
197,,2025-01-18,905082,50146.11,E-WALLET,PENDING,
198,,2025-01-19,247324,41080.98,CASH,CONFIRMED,
199,,2025-01-19,735237,3871.26,CASH,CANCELLED,
200,,2025-01-19,238602,19508.17,CASH,CONFIRMED,
201,,2025-01-19,356024,47952.12,CASH,CONFIRMED,
202,,2025-01-19,457202,74031.99,CASH,CONFIRMED,
203,,2025-01-19,877585,188937.15,BANK,CANCELLED,
204,,2025-01-19,132469,90290.57,CASH,CONFIRMED,
205,,2025-01-19,915064,105109.98,CASH,CONFIRMED,
206,,2025-01-19,999526,79949.8,CASH,CONFIRMED,
207,,2025-01-19,149937,17133.12,BANK,CONFIRMED,
208,,2025-01-19,455107,33862.12,CASH,CONFIRMED,
209,,2025-01-19,747953,33330.46,CASH,PENDING,
210,,2025-01-19,965668,61936.9,CASH,CONFIRMED,
211,,2025-01-20,971123,110098.64,CASH,CONFIRMED,
212,,2025-01-20,390428,25578.54,BANK,CONFIRMED,
213,,2025-01-20,967058,36083.47,E-WALLET,CANCELLED,
214,,2025-01-20,128006,39412.56,CASH,CONFIRMED,
215,,2025-01-20,405914,6506.43,CASH,PENDING,
216,,2025-01-20,908685,78622.93,BANK,CONFIRMED,
217,,2025-01-20,615223,14474.16,E-WALLET,CONFIRMED,
218,,2025-01-20,298882,2708.84,E-WALLET,CONFIRMED,
219,,2025-01-20,877870,100861.12,E-WALLET,CONFIRMED,
220,,2025-01-20,153792,17593.8,CASH,CONFIRMED,
221,,2025-01-20,862672,58058.75,BANK,CANCELLED,
222,,2025-01-20,427646,137055.67,CASH,CONFIRMED,
223,,2025-01-20,616586,53046.38,CASH,CONFIRMED,
224,,2025-01-20,316746,24875.92,CASH,CANCELLED,
225,,2025-01-20,405714,14270.08,BANK,CANCELLED,
226,,2025-01-21,614547,53956.28,E-WALLET,CONFIRMED,
227,,2025-01-21,465491,4322.2,E-WALLET,CONFIRMED,
228,,2025-01-21,586874,172536.61,E-WALLET,CANCELLED,
229,,2025-01-21,864880,57388.37,CASH,CANCELLED,
230,,2025-01-21,188696,188641.84,E-WALLET,CONFIRMED,
231,,2025-01-21,167730,164175.3,CASH,CONFIRMED,
232,,2025-01-21,314147,80366.25,CASH,CONFIRMED,
233,,2025-01-21,802876,228347.71,CASH,CONFIRMED,
234,,2025-01-21,562734,75078.59,BANK,CONFIRMED,
235,,2025-01-21,249307,113502.26,CASH,CONFIRMED,
236,,2025-01-21,991738,54734.47,BANK,CONFIRMED,
237,,2025-01-21,295111,-26314.83,E-WALLET,REFUNDED,
238,,2025-01-22,406436,150374.67,CASH,CONFIRMED,
239,,2025-01-22,649557,34376.35,CASH,CONFIRMED,
240,,2025-01-22,636079,110698.55,CASH,CONFIRMED,
241,,2025-01-22,120049,137271.5,BANK,CONFIRMED,
242,,2025-01-22,963585,81078.17,CASH,CONFIRMED,
243,,2025-01-22,206498,91353.47,CASH,CONFIRMED,
244,,2025-01-22,837526,129613.7,CASH,CONFIRMED,
245,,2025-01-22,176049,44100.77,CASH,CONFIRMED,
246,,2025-01-22,975251,73666.47,CASH,CONFIRMED,
247,,2025-01-22,956972,26292.14,CASH,CONFIRMED,
248,,2025-01-23,315708,15629.88,E-WALLET,CANCELLED,
249,,2025-01-23,396484,22074.28,CASH,CONFIRMED,
250,,2025-01-23,650780,92578.0,CASH,CONFIRMED,
251,,2025-01-23,603702,96969.94,CASH,CONFIRMED,
252,,2025-01-23,291022,67332.81,BANK,CANCELLED,
253,,2025-01-23,564192,131290.5,BANK,CANCELLED,
254,,2025-01-23,247253,11448.72,E-WALLET,CONFIRMED,
255,,2025-01-23,758242,-76671.33,CASH,REFUNDED,
256,,2025-01-24,915765,100755.32,CASH,CANCELLED,
257,,2025-01-24,493064,14729.17,CASH,CONFIRMED,
258,,2025-01-24,116115,19899.04,CASH,CONFIRMED,
259,,2025-01-24,956504,90003.2,CASH,CONFIRMED,
260,,2025-01-24,980714,28209.38,CASH,CONFIRMED,
261,,2025-01-24,215000,70745.3,CASH,CONFIRMED,
262,,2025-01-24,145503,73215.33,CASH,CONFIRMED,
263,,2025-01-24,674473,872.99,CASH,CONFIRMED,
264,,2025-01-24,231334,2627.64,E-WALLET,CONFIRMED,
265,,2025-01-24,504249,76888.54,CASH,CONFIRMED,
266,,2025-01-24,908414,152109.01,BANK,CONFIRMED,
267,,2025-01-24,863262,27335.55,CASH,CONFIRMED,
268,,2025-01-24,641088,88696.33,E-WALLET,CONFIRMED,
269,,2025-01-24,585448,27056.1,E-WALLET,CONFIRMED,
270,,2025-01-24,976199,39670.66,CASH,CONFIRMED,
271,,2025-01-24,852549,3052.47,E-WALLET,CONFIRMED,
272,,2025-01-24,110982,41705.56,CASH,CONFIRMED,
273,,2025-01-24,964392,111435.31,CASH,CONFIRMED,
274,,2025-01-24,357483,83465.9,E-WALLET,CONFIRMED,
275,,2025-01-24,937374,35386.65,E-WALLET,CONFIRMED,
276,,2025-01-25,436731,3690.45,CASH,CONFIRMED,
277,,2025-01-25,696869,26017.6,E-WALLET,CONFIRMED,
278,,2025-01-25,270792,63012.99,E-WALLET,CONFIRMED,
279,,2025-01-25,643715,50862.04,BANK,PENDING,
280,,2025-01-25,694288,158020.64,BANK,CONFIRMED,
281,,2025-01-25,816951,37514.22,CASH,CONFIRMED,
282,,2025-01-25,533720,72605.27,CASH,CONFIRMED,
283,,2025-01-25,185456,40612.5,BANK,CONFIRMED,
284,,2025-01-25,889843,137601.23,CASH,CONFIRMED,
285,,2025-01-25,887225,96735.64,CASH,CONFIRMED,
286,,2025-01-25,273447,157961.13,CASH,CONFIRMED,
287,,2025-01-25,374038,61664.8,CASH,CONFIRMED,
288,,2025-01-25,488882,203132.37,CASH,CONFIRMED,
289,,2025-01-25,691149,106723.59,CASH,CONFIRMED,
290,,2025-01-25,917398,59666.95,CASH,CONFIRMED,
291,,2025-01-26,978778,66502.04,BANK,CONFIRMED,
292,,2025-01-26,985347,39166.06,CASH,CANCELLED,
293,,2025-01-26,906005,131056.09,CASH,CANCELLED,
294,,2025-01-26,388729,134151.08,CASH,CONFIRMED,
295,,2025-01-26,421022,130172.56,BANK,CONFIRMED,
296,,2025-01-26,570693,66129.91,CASH,CONFIRMED,
297,,2025-01-26,909048,46496.99,CASH,CONFIRMED,
298,,2025-01-26,240738,58093.02,BANK,CANCELLED,
299,,2025-01-26,534579,42855.62,E-WALLET,CONFIRMED,
300,,2025-01-26,652391,62751.68,CASH,CONFIRMED,
301,,2025-01-26,923375,59258.61,CASH,CONFIRMED,
302,,2025-01-26,968045,75454.94,CASH,CONFIRMED,
303,,2025-01-27,629353,79594.32,BANK,CONFIRMED,
304,,2025-01-27,863027,29961.25,E-WALLET,CONFIRMED,
305,,2025-01-27,907852,55727.59,CASH,CONFIRMED,
306,,2025-01-27,799644,52615.28,CASH,CONFIRMED,
307,,2025-01-27,251771,41435.22,E-WALLET,CANCELLED,
308,,2025-01-27,324093,4144.55,CASH,CONFIRMED,
309,,2025-01-27,213725,64966.66,BANK,CANCELLED,
310,,2025-01-27,416598,110262.36,BANK,CANCELLED,
311,,2025-01-27,606566,62019.51,CASH,CONFIRMED,
312,,2025-01-27,647901,21068.24,CASH,PENDING,
313,,2025-01-27,408772,70997.62,BANK,CONFIRMED,
314,,2025-01-27,756835,118858.38,CASH,CONFIRMED,
315,,2025-01-28,724112,30847.17,CASH,CONFIRMED,
316,,2025-01-28,304303,-106588.16,E-WALLET,REFUNDED,
317,,2025-01-28,949657,44795.66,E-WALLET,CONFIRMED,
318,,2025-01-28,168795,-103054.12,CASH,REFUNDED,
319,,2025-01-28,872817,2894.09,E-WALLET,CONFIRMED,
320,,2025-01-28,571741,30440.04,E-WALLET,CONFIRMED,
321,,2025-01-29,861968,105250.91,E-WALLET,CONFIRMED,
322,,2025-01-29,592735,7519.81,CASH,CONFIRMED,
323,,2025-01-29,587075,69031.93,E-WALLET,CONFIRMED,
324,,2025-01-29,750448,91283.3,CASH,CANCELLED,
325,,2025-01-29,465622,-71369.42,E-WALLET,REFUNDED,
326,,2025-01-29,520414,46282.34,E-WALLET,CONFIRMED,
327,,2025-01-29,387289,30697.18,CASH,CONFIRMED,
328,,2025-01-29,185066,35643.82,CASH,CANCELLED,
329,,2025-01-29,411515,104748.0,E-WALLET,PENDING,
330,,2025-01-29,375718,54156.42,CASH,CONFIRMED,
331,,2025-01-29,462183,20603.65,CASH,CONFIRMED,
332,,2025-01-30,925816,21973.59,E-WALLET,CONFIRMED,
333,,2025-01-30,482665,53501.56,CASH,CONFIRMED,
334,,2025-01-30,434338,159817.22,E-WALLET,CONFIRMED,
335,,2025-01-30,882315,50279.46,CASH,CONFIRMED,
336,,2025-01-30,865528,29613.55,CASH,CONFIRMED,
337,,2025-01-30,735410,93596.31,CASH,CONFIRMED,
338,,2025-01-30,498537,-79706.59,E-WALLET,REFUNDED,
339,,2025-01-30,728513,145021.96,CASH,CONFIRMED,
340,,2025-01-30,416052,51225.07,CASH,CONFIRMED,
341,,2025-01-30,533800,1826.84,E-WALLET,CANCELLED,
342,,2025-01-30,655103,24256.04,CASH,CANCELLED,
343,,2025-01-30,930976,-32551.79,E-WALLET,REFUNDED,
344,,2025-01-30,480666,46580.13,CASH,CONFIRMED,
345,,2025-01-30,994003,-88445.14,CASH,REFUNDED,
346,,2025-01-30,167630,18552.39,CASH,CONFIRMED,
347,,2025-01-30,524669,171248.17,E-WALLET,CONFIRMED,
348,,2025-01-30,937098,68460.36,CASH,CONFIRMED,
349,,2025-01-31,734506,63641.12,CASH,CONFIRMED,
350,,2025-01-31,112008,130511.8,CASH,CONFIRMED,
351,,2025-01-31,279930,10110.09,CASH,CONFIRMED,
352,,2025-01-31,462666,187111.38,CASH,PENDING,
353,,2025-01-31,692899,129518.17,CASH,CONFIRMED,
354,,2025-01-31,316631,55221.07,E-WALLET,CONFIRMED,
355,,2025-01-31,458177,71121.63,E-WALLET,CONFIRMED,
356,,2025-01-31,766230,27287.73,CASH,CONFIRMED,
357,,2025-01-31,656101,73115.28,CASH,CONFIRMED,
358,,2025-01-31,826265,52438.19,BANK,CANCELLED,
359,,2025-01-31,377455,25107.12,E-WALLET,CANCELLED,
360,,2025-01-31,964908,9815.12,CASH,CONFIRMED,
361,,2025-01-31,337557,61685.57,CASH,CONFIRMED,
362,,2025-01-31,262471,132878.53,BANK,CONFIRMED,
363,,2025-01-31,786864,93392.45,BANK,CONFIRMED,
364,,2025-02-01,428801,147001.57,BANK,CANCELLED,
365,,2025-02-01,559192,35372.88,E-WALLET,CONFIRMED,
366,,2025-02-01,302350,105463.46,BANK,CONFIRMED,
367,,2025-02-01,702986,60386.97,CASH,CONFIRMED,
368,,2025-02-01,974428,18515.35,CASH,CONFIRMED,
369,,2025-02-01,850369,28509.81,CASH,CONFIRMED,
370,,2025-02-01,926480,28056.93,BANK,CONFIRMED,
371,,2025-02-01,743285,94122.4,CASH,CONFIRMED,
372,,2025-02-01,820352,84042.44,BANK,CONFIRMED,
373,,2025-02-01,765495,65551.67,CASH,CONFIRMED,
374,,2025-02-01,476236,43645.59,CASH,CONFIRMED,
375,,2025-02-01,417692,46401.56,CASH,CONFIRMED,
376,,2025-02-01,191891,67812.82,CASH,CONFIRMED,
377,,2025-02-01,572309,-75462.88,E-WALLET,REFUNDED,
378,,2025-02-01,916066,37081.68,CASH,PENDING,
379,,2025-02-01,367490,23217.23,CASH,CONFIRMED,
380,,2025-02-01,898407,128552.91,CASH,CONFIRMED,
381,,2025-02-01,346171,114957.4,CASH,CONFIRMED,
382,,2025-02-01,756850,150245.87,BANK,CONFIRMED,
383,,2025-02-01,232556,-32377.58,CASH,REFUNDED,
384,,2025-02-01,429015,39674.68,CASH,CONFIRMED,
385,,2025-02-02,150206,111972.7,CASH,CONFIRMED,
386,,2025-02-02,746334,69349.27,CASH,PENDING,
387,,2025-02-02,857056,100784.59,E-WALLET,CANCELLED,
388,,2025-02-02,367987,148905.81,BANK,CONFIRMED,
389,,2025-02-02,472307,115637.2,CASH,CONFIRMED,
390,,2025-02-02,512597,5523.33,BANK,CANCELLED,
391,,2025-02-02,198734,13066.5,BANK,PENDING,
392,,2025-02-02,935374,26690.1,CASH,CONFIRMED,
393,,2025-02-02,661320,68828.78,E-WALLET,CANCELLED,
394,,2025-02-02,791340,14313.04,CASH,CONFIRMED,
395,,2025-02-02,776276,104440.25,E-WALLET,CONFIRMED,
396,,2025-02-02,451430,11515.24,CASH,CONFIRMED,
397,,2025-02-02,204025,52989.87,CASH,CANCELLED,
398,,2025-02-02,586104,90293.58,E-WALLET,CONFIRMED,
399,,2025-02-02,679659,106741.81,CASH,CONFIRMED,
400,,2025-02-02,717225,163907.34,CASH,CONFIRMED,
401,,2025-02-02,569806,144598.58,CASH,CONFIRMED,
402,,2025-02-02,488393,145937.72,CASH,CONFIRMED,
403,,2025-02-02,627738,134180.44,CASH,CONFIRMED,
404,,2025-02-02,746034,13686.72,E-WALLET,CONFIRMED,
405,,2025-02-02,771628,23547.05,CASH,CONFIRMED,
406,,2025-02-02,953367,108196.01,BANK,CONFIRMED,
407,,2025-02-02,186596,23015.6,CASH,PENDING,
408,,2025-02-03,780026,32965.2,CASH,CONFIRMED,
409,,2025-02-03,624663,148040.2,CASH,CONFIRMED,
410,,2025-02-03,821402,116752.38,CASH,PENDING,
411,,2025-02-03,143006,-117954.12,CASH,REFUNDED,
412,,2025-02-03,655941,63385.85,CASH,CONFIRMED,
413,,2025-02-03,529448,4344.6,E-WALLET,CANCELLED,
414,,2025-02-03,262552,67216.8,E-WALLET,CONFIRMED,
415,,2025-02-03,395932,5667.28,E-WALLET,CONFIRMED,
416,,2025-02-03,692803,20207.1,CASH,CONFIRMED,
417,,2025-02-03,101462,13738.74,CASH,CONFIRMED,
418,,2025-02-03,635946,148357.37,CASH,CONFIRMED,
419,,2025-02-03,847582,51766.65,E-WALLET,CONFIRMED,
420,,2025-02-03,469671,116379.54,CASH,CONFIRMED,
421,,2025-02-03,894227,43485.22,CASH,CANCELLED,
422,,2025-02-03,819111,51023.54,CASH,CONFIRMED,
423,,2025-02-04,583057,36771.81,CASH,CONFIRMED,
424,,2025-02-04,736500,45138.5,CASH,CANCELLED,
425,,2025-02-04,867092,26462.84,CASH,CONFIRMED,
426,,2025-02-04,601179,110829.87,CASH,CANCELLED,
427,,2025-02-04,449392,89861.09,E-WALLET,CONFIRMED,
428,,2025-02-04,423926,61772.08,CASH,CONFIRMED,
429,,2025-02-04,180979,154477.76,CASH,CONFIRMED,
430,,2025-02-04,690261,41229.14,E-WALLET,CONFIRMED,
431,,2025-02-04,980182,-15450.81,CASH,REFUNDED,
432,,2025-02-04,203278,49721.77,BANK,CONFIRMED,
433,,2025-02-04,961451,28701.4,E-WALLET,CONFIRMED,
434,,2025-02-04,637223,54791.12,CASH,CONFIRMED,
435,,2025-02-04,579554,26202.6,CASH,CONFIRMED,
436,,2025-02-05,550887,83388.84,E-WALLET,CONFIRMED,
437,,2025-02-05,184929,68647.62,CASH,CONFIRMED,
438,,2025-02-05,444580,24714.65,E-WALLET,CONFIRMED,
439,,2025-02-05,478202,3021.45,CASH,CONFIRMED,
440,,2025-02-05,437487,81151.21,E-WALLET,CONFIRMED,
441,,2025-02-05,492476,20925.38,BANK,CONFIRMED,
442,,2025-02-05,690761,65138.55,E-WALLET,CONFIRMED,
