item_id,transaction_id,product_id,batch_id,quantity_sold,unit_selling_price,unit_cost_at_sale,discount_applied,total_sale_value,total_cost
65,22,304,4704,10,575.5,392.13,28.78,5754.5,3921.3
66,22,373,8,7,3316.08,1543.25,232.13,23212.07,10802.75
67,22,333,824,2,1733.44,1288.21,52.0,3466.82,2576.42
68,23,14,4262,1,2706.48,1987.35,189.45,2706.41,1987.35
69,24,438,389,3,5086.73,2371.54,0.0,15260.19,7114.62
70,24,419,3154,2,2694.76,1456.58,0.0,5389.52,2913.16
71,25,467,3498,4,1945.19,1170.6,0.0,7780.76,4682.4
72,25,467,3498,3,2264.7,1170.6,113.24,6793.95,3511.8
73,26,27,423,9,1051.05,547.59,0.0,9459.45,4928.31
74,27,31,5107,1,1972.6,1239.48,39.45,1972.58,1239.48
75,28,458,818,2,3919.07,3544.62,0.0,7838.14,7089.24
76,28,399,5446,7,1532.0,733.54,0.0,10724.0,5134.78
77,28,481,4694,5,1549.92,1150.54,139.49,7749.15,5752.7
78,28,198,4689,2,7128.06,3665.96,356.4,14256.02,7331.92
79,29,451,3891,5,5837.5,3913.86,0.0,29187.5,19569.3
80,30,171,391,7,2595.98,1940.44,207.68,18171.3,13583.08
81,30,417,2343,8,845.91,726.23,42.3,6766.88,5809.84
82,31,492,4269,9,8428.83,3982.47,0.0,75859.47,35842.23
83,31,274,63,1,5571.62,4814.71,0.0,5571.62,4814.71
84,31,480,3520,6,1833.86,1567.68,146.71,11002.68,9406.08
85,31,476,5456,9,118.99,61.9,30.94,1068.57,557.1
86,32,93,5074,4,7373.64,3926.18,294.95,29494.4,15704.72
87,32,215,379,7,711.74,459.14,35.59,4981.83,3213.98
88,32,93,5074,3,8408.25,3926.18,0.0,25224.75,11778.54
89,32,93,5074,10,6175.17,3926.18,494.01,61750.9,39261.8
90,33,361,1189,7,1137.67,853.78,45.51,7963.41,5976.46
91,33,361,1189,7,1865.77,853.78,74.63,13060.11,5976.46
92,33,361,1189,9,1632.16,853.78,0.0,14689.44,7684.02
93,33,340,4795,8,5360.22,4132.29,268.01,42881.36,33058.32
94,34,307,5441,1,4232.56,2812.99,0.0,4232.56,2812.99
95,34,307,477,1,8570.69,4900.31,0.0,8570.69,4900.31
96,35,13,4071,3,2545.76,1721.99,0.0,7637.28,5165.97
97,35,191,397,1,6216.87,4432.01,0.0,6216.87,4432.01
98,35,484,1199,6,5411.59,3744.59,54.12,32469.48,22467.54
99,35,191,397,2,4886.06,4432.01,0.0,9772.12,8864.02
100,35,368,3126,4,2407.55,2154.05,433.36,9629.48,8616.2
101,36,444,3146,1,2482.16,1315.79,248.22,2482.06,1315.79
102,36,256,3932,3,5777.46,2956.04,346.65,17332.2,8868.12
103,36,11,5066,9,3884.84,2246.88,0.0,34963.56,20221.92
104,36,214,4116,7,3031.62,1926.69,0.0,21221.34,13486.83
105,37,303,5193,5,301.17,138.21,12.05,1505.65,691.05
106,37,391,4273,5,3591.22,2104.26,359.12,17955.6,10521.3
107,37,42,2706,1,10696.2,4891.74,0.0,10696.2,4891.74
108,37,367,2330,2,4592.72,2949.48,367.42,9185.28,5898.96
109,38,492,4269,6,4388.42,3982.47,0.0,26330.52,23894.82
110,38,387,4683,2,9301.12,4628.16,558.07,18602.12,9256.32
111,38,364,82,7,1869.74,969.0,0.0,13088.18,6783.0
112,38,16,5468,9,1131.1,620.2,192.29,10178.37,5581.8
113,38,492,4269,8,6330.93,3982.47,443.17,50646.88,31859.76
114,39,279,3494,9,8939.88,4329.51,89.4,80458.83,38965.59
115,39,385,4687,5,5553.32,2901.34,111.07,27766.5,14506.7
116,39,336,1193,2,708.78,356.69,0.0,1417.56,713.38
117,39,385,4687,4,4548.11,2901.34,272.89,18192.2,11605.36
118,39,80,1613,3,224.7,153.24,0.0,674.1,459.72
119,40,339,5138,7,6938.06,4606.99,138.76,48566.28,32248.93
120,40,273,414,7,5749.14,3065.75,172.47,40243.77,21460.25
121,41,473,5163,7,8174.8,4031.37,408.74,57223.25,28219.59
122,41,426,4027,5,6211.06,4610.61,434.77,31054.95,23053.05
123,42,174,3540,5,8146.6,4349.09,488.8,40732.7,21745.45
124,43,180,5472,5,2195.0,1051.17,153.65,10974.65,5255.85
125,44,495,1992,5,3341.12,1746.29,66.82,16705.5,8731.45
126,44,363,4336,9,848.72,603.94,8.49,7638.39,5435.46
127,44,28,1570,9,5508.79,4087.53,0.0,49579.11,36787.77
128,44,416,1230,8,622.22,333.81,49.78,4977.12,2670.48
129,45,328,2716,7,1361.51,905.02,272.3,9529.17,6335.14
130,45,146,4842,10,5722.65,3703.61,228.91,57226.1,37036.1
131,46,149,1595,8,2243.49,1642.27,0.0,17947.92,13138.16
132,46,485,5565,10,3753.36,2123.51,225.2,37533.0,21235.1
133,46,393,3902,6,7334.15,4420.35,0.0,44004.9,26522.1
134,47,201,1948,3,7674.22,3645.14,153.48,23022.6,10935.42
135,47,164,394,10,7560.45,3904.66,0.0,75604.5,39046.6
136,47,419,3154,5,2037.02,1456.58,346.29,10184.25,7282.9
137,47,294,16,6,270.9,157.48,21.67,1624.92,944.88
138,47,292,4691,1,3246.2,2328.45,357.08,3246.09,2328.45
139,48,217,416,6,390.33,183.52,11.71,2341.8,1101.12
140,49,354,5438,1,4620.6,2985.78,231.03,4620.55,2985.78
141,49,479,2359,9,6059.3,4376.41,0.0,54533.7,39387.69
142,49,134,2731,2,4930.59,3025.22,0.0,9861.18,6050.44
143,50,153,491,6,8606.38,4334.2,2151.59,51636.78,26005.2
144,50,375,3893,9,6389.65,3452.38,575.07,57506.04,31071.42
145,50,112,3153,6,2524.84,1692.86,277.73,15148.38,10157.16
146,50,325,5071,3,5507.09,2898.5,0.0,16521.27,8695.5
147,50,477,2711,9,2899.78,1973.07,58.0,26097.84,17757.63
148,51,411,4548,1,7493.77,4119.5,224.81,-7493.74,-4119.5
149,51,411,4548,4,8969.97,4119.5,538.2,-35879.64,-16478.0
150,52,9,2362,2,1023.34,654.76,0.0,2046.68,1309.52
151,52,52,1566,7,8244.45,4058.73,329.78,57710.87,28411.11
152,52,63,825,7,7904.66,4213.48,869.51,55331.85,29494.36
153,52,316,3570,7,7187.35,4126.02,287.49,50311.17,28882.14
154,53,1,4716,6,5051.09,2824.28,151.53,30306.36,16945.68
155,53,499,4277,2,1650.01,1327.45,115.5,3299.88,2654.9
156,53,466,3883,2,1500.5,950.11,75.03,3000.9,1900.22
157,53,418,5449,7,4432.87,3549.89,0.0,31030.09,24849.23
158,53,3,5070,2,437.69,286.91,8.75,875.34,573.82
159,54,474,4711,2,4039.8,2355.6,0.0,8079.6,4711.2
160,54,447,864,6,934.17,575.66,18.68,5604.9,3453.96
161,55,128,5444,7,5467.43,3371.61,437.39,-38271.45,-23601.27
162,55,329,1611,1,1439.11,1194.95,57.56,-1439.07,-1194.95
163,55,274,63,4,10524.77,4814.71,315.74,-42098.96,-19258.84
164,55,83,5460,4,7450.41,4573.34,521.53,-29801.36,-18293.36
165,56,195,387,6,1097.76,682.13,10.98,6586.5,4092.78
166,56,436,4326,3,1787.13,1250.32,35.74,5361.33,3750.96
167,56,195,387,7,1081.91,682.13,43.28,7573.09,4774.91
168,57,498,70,3,566.56,388.44,28.33,-1699.53,-1165.32
169,58,342,1955,6,947.51,621.6,255.83,5683.44,3729.6
170,58,377,3117,4,3761.66,2822.75,0.0,15046.64,11291.0
171,58,339,5138,7,6254.1,4606.99,500.33,43778.14,32248.93
172,58,342,1955,3,856.21,621.6,17.12,2568.57,1864.8
173,58,52,1566,7,4904.77,4058.73,147.14,34333.18,28411.11
174,59,195,387,2,1493.16,682.13,223.97,2986.02,1364.26
175,59,421,2013,1,6789.99,3198.7,1561.7,6789.76,3198.7
176,59,497,3495,7,4317.39,1973.04,259.04,30221.31,13811.28
177,59,421,2013,5,6682.3,3198.7,200.47,33411.35,15993.5
178,60,245,1562,4,1127.73,763.74,78.94,4510.64,3054.96
179,60,245,1562,6,1643.25,763.74,0.0,9859.5,4582.44
180,60,245,1279,4,2583.29,1225.51,103.33,10333.0,4902.04
181,60,245,1279,3,2024.13,1225.51,101.21,6072.24,3676.53
182,60,245,1279,7,1770.26,1225.51,88.51,12391.47,8578.57
183,61,85,2110,1,2787.27,1627.39,0.0,2787.27,1627.39
184,61,10,3116,4,1145.16,576.46,0.0,4580.64,2305.84
185,61,85,2110,2,2596.2,1627.39,207.7,5192.24,3254.78
186,61,148,434,1,1590.93,853.64,159.09,1590.83,853.64
187,62,52,1566,10,6332.19,4058.73,0.0,63321.9,40587.3
188,62,256,3932,8,6035.03,2956.04,181.05,48280.0,23648.32
189,63,59,5077,1,2886.78,2059.63,86.6,2886.75,2059.63
190,63,291,2344,6,1142.94,742.35,102.86,6857.1,4454.1
191,63,59,5077,7,4206.78,2059.63,0.0,29447.46,14417.41
192,63,165,5448,5,1841.9,1189.63,110.51,9209.2,5948.15
193,63,59,5077,7,3395.94,2059.63,203.76,23771.16,14417.41
194,64,21,1236,8,1896.73,1301.59,189.67,15173.04,10412.72
195,64,137,4522,7,7774.51,4611.13,466.47,54421.15,32277.91
196,64,137,4522,1,9143.62,4611.13,640.05,9143.55,4611.13
197,64,320,1323,2,3173.73,2808.61,158.69,6347.36,5617.22
198,65,158,802,3,664.05,529.78,0.0,1992.15,1589.34
199,65,440,419,3,6435.92,4434.7,193.08,19307.67,13304.1
200,65,328,2716,5,1747.87,905.02,104.87,8739.05,4525.1
201,66,154,1950,1,1633.64,861.99,16.34,1633.63,861.99
202,66,106,1202,1,6192.18,4526.84,619.22,6192.08,4526.84
203,66,450,2336,8,2841.18,1820.95,142.06,22729.04,14567.6
204,66,495,1992,2,3181.39,1746.29,63.63,6362.74,3492.58
205,66,487,5090,2,857.99,468.28,77.22,1715.8,936.56
206,67,372,22,5,4397.85,3805.4,307.85,-21988.9,-19027.0
207,67,389,2718,2,2329.54,1116.58,93.18,-4659.0,-2233.16
208,68,67,4705,6,1968.18,1270.45,98.41,11808.78,7622.7
209,68,384,4731,8,4693.77,2807.2,0.0,37550.16,22457.6
210,68,466,3883,10,2009.09,950.11,0.0,20090.9,9501.1
211,69,46,386,4,2887.41,2366.35,0.0,11549.64,9465.4
212,70,214,4116,1,3909.17,1926.69,312.73,3909.09,1926.69
213,70,301,5180,2,2890.31,2293.69,144.52,5780.52,4587.38
214,70,70,1609,7,4985.34,2497.8,199.41,34897.1,17484.6
215,70,37,3567,9,2192.25,1786.92,131.54,19729.71,16082.28
216,71,310,5458,7,2906.1,2593.32,58.12,20342.56,18153.24
217,71,217,416,3,224.36,183.52,0.0,673.08,550.56
218,71,77,5178,3,7032.6,3269.4,562.61,21097.56,9808.2
219,72,483,3949,10,2997.84,1609.1,299.78,29977.4,16091.0
220,72,347,3192,4,5987.94,3569.22,59.88,23951.72,14276.88
221,72,122,4373,7,1303.77,1181.66,182.53,9125.41,8271.62
222,72,7,1619,6,1989.06,990.25,0.0,11934.36,5941.5
223,73,42,2706,3,10691.77,4891.74,534.59,-32075.16,-14675.22
224,73,20,3124,1,1092.59,779.8,54.63,-1092.54,-779.8
225,73,27,423,10,717.33,547.59,0.0,-7173.3,-5475.9
226,73,114,1651,5,5686.82,4266.28,227.47,-28433.9,-21331.4
227,74,431,2346,6,3056.75,2622.66,0.0,18340.5,15735.96
228,74,135,3887,9,4411.97,3132.06,132.36,39707.46,28188.54
229,74,199,396,10,3620.38,2348.18,181.02,36203.3,23481.8
230,75,32,4750,9,2657.41,1678.18,106.3,-23916.33,-15103.62
231,76,342,1955,10,1234.28,621.6,0.0,12342.8,6216.0
232,77,253,429,1,2217.8,1015.37,0.0,2217.8,1015.37
233,77,289,4755,4,7351.51,3817.84,0.0,29406.04,15271.36
234,78,267,2331,6,5392.04,4279.21,377.44,32351.82,25675.26
235,78,90,3,7,3928.41,1984.08,196.42,27498.52,13888.56
236,78,438,389,1,4331.44,2371.54,0.0,4331.44,2371.54
237,78,160,3534,2,4290.15,2599.48,343.21,8580.14,5198.96
238,78,438,389,8,4651.09,2371.54,418.6,37208.0,18972.32
239,79,144,807,3,4997.41,3472.52,0.0,14992.23,10417.56
240,79,475,4335,3,2175.6,1528.79,43.51,6526.74,4586.37
241,79,480,3520,4,3171.06,1567.68,0.0,12684.24,6270.72
242,79,236,3203,1,7407.67,4559.71,148.15,7407.65,4559.71
243,79,186,2363,5,7595.55,4127.09,0.0,37977.75,20635.45
244,80,227,5474,4,4915.56,3798.42,884.8,-19661.52,-15193.68
245,80,342,1955,3,802.82,621.6,0.0,-2408.46,-1864.8
246,81,338,3925,10,6695.66,3558.59,535.65,66955.8,35585.9
247,81,113,402,9,2652.52,1787.44,503.98,23870.97,16086.96
248,81,460,377,8,5750.04,3323.67,0.0,46000.32,26589.36
249,81,281,2742,3,5253.47,3615.3,420.28,15760.17,10845.9
250,82,432,3504,8,2962.42,1658.88,296.24,-23698.56,-13271.04
251,82,298,378,6,1349.61,691.74,188.95,-8096.82,-4150.44
252,82,298,378,6,1407.47,691.74,422.24,-8443.02,-4150.44
253,82,19,1986,1,4781.25,2263.09,430.31,-4781.16,-2263.09
254,82,247,1980,8,9300.23,4264.57,930.02,-74401.04,-34116.56
255,83,362,5683,4,1680.96,771.59,0.0,6723.84,3086.36
256,83,498,70,7,474.21,388.44,0.0,3319.47,2719.08
257,83,345,5136,2,6275.75,3252.19,502.06,12551.34,6504.38
258,84,144,807,8,4026.56,3472.52,201.33,32212.08,27780.16
259,84,414,2350,10,4733.14,2196.09,94.66,47331.2,21960.9
260,85,73,3563,2,747.4,407.26,67.27,1494.62,814.52
261,85,245,1279,2,1593.45,1225.51,366.49,3186.44,2451.02
262,86,155,3896,6,3076.03,1485.27,61.52,18456.06,8911.62
263,86,162,3882,9,3324.82,1735.15,232.74,29922.75,15616.35
264,87,290,1580,10,5102.35,3091.09,51.02,-51023.4,-30910.9
265,87,264,923,2,5744.16,3297.2,114.88,-11488.28,-6594.4
266,87,226,4688,10,7379.36,3570.0,368.97,-73793.1,-35700.0
267,87,3,5070,7,610.86,286.91,0.0,-4276.02,-2008.37
268,87,118,4710,7,463.35,293.91,78.77,-3242.26,-2057.37
269,88,229,4276,9,1510.13,959.64,15.1,13591.08,8636.76
270,88,229,4276,6,2022.46,959.64,0.0,12134.76,5757.84
271,89,287,5097,2,6029.41,3923.15,1326.47,12058.38,7846.3
272,89,357,2,8,6055.82,3776.88,181.67,48446.32,30215.04
273,89,230,3873,5,6192.69,3146.98,309.63,30963.2,15734.9
274,90,182,3510,2,3900.21,1838.38,858.05,7799.98,3676.76
275,90,188,1965,1,5826.68,3088.62,1689.74,5826.39,3088.62
276,90,48,1205,2,6616.92,4760.66,397.02,13233.72,9521.32
277,91,320,1323,10,3824.33,2808.61,229.46,38242.7,28086.1
278,91,320,1323,6,3728.81,2808.61,186.44,22372.56,16851.66
279,91,466,3883,6,1569.37,950.11,0.0,9416.22,5700.66
280,92,144,807,2,5279.39,3472.52,0.0,10558.78,6945.04
281,92,287,5097,7,7874.67,3923.15,0.0,55122.69,27462.05
282,92,326,384,3,189.52,112.39,1.9,568.53,337.17
283,92,144,807,6,7254.61,3472.52,0.0,43527.66,20835.12
284,93,37,3567,9,2721.31,1786.92,598.69,24489.81,16082.28
285,93,6,18,2,823.45,598.22,115.28,1646.62,1196.44
286,94,395,2017,3,3344.07,2185.97,267.53,10031.97,6557.91
287,95,476,5456,8,123.58,61.9,32.13,986.56,495.2
288,96,56,5076,4,5495.63,3036.85,109.91,-21982.44,-12147.4
289,96,149,1595,3,3092.12,1642.27,92.76,-9276.27,-4926.81
290,96,206,1576,9,6388.16,3878.96,127.76,-57493.26,-34910.64
291,96,175,3497,3,3564.78,2127.56,249.53,-10694.13,-6382.68
292,96,140,2341,3,4474.83,2800.27,268.49,-13424.31,-8400.81
293,97,424,5476,5,6772.98,3596.93,1354.6,33863.9,17984.65
294,97,45,4278,2,4417.08,2133.85,88.34,8834.12,4267.7
295,97,232,5112,1,6626.56,3783.56,0.0,6626.56,3783.56
296,97,411,4548,5,6253.92,4119.5,0.0,31269.6,20597.5
297,97,50,388,8,6071.13,4692.32,485.69,48568.4,37538.56
298,98,443,1963,6,3212.61,2774.47,771.03,19274.22,16646.82
299,99,57,5106,2,1697.12,806.69,0.0,-3394.24,-1613.38
300,99,279,3494,2,5530.78,4329.51,276.54,-11061.46,-8659.02
301,99,468,4291,9,1947.72,1517.39,77.91,-17529.12,-13656.51
302,99,36,4287,7,187.47,167.58,7.5,-1312.01,-1173.06
303,99,356,3503,3,7168.41,3557.9,645.16,-21504.96,-10673.7
304,100,285,1649,6,374.71,185.97,26.23,2247.84,1115.82
305,100,283,4739,10,2454.68,1363.19,98.19,24546.4,13631.9
306,100,461,845,10,2882.7,1570.62,28.83,28826.9,15706.2
307,100,334,4693,5,448.96,295.38,0.0,2244.8,1476.9
308,101,89,1602,3,10250.42,4747.66,512.52,30751.11,14242.98
309,101,30,1191,6,6248.7,3776.85,249.95,37491.96,22661.1
310,101,83,5460,4,6861.29,4573.34,411.68,27444.92,18293.36
311,101,34,1200,3,3901.95,2144.25,78.04,11705.79,6432.75
312,102,388,5100,7,3940.5,3514.52,709.29,27582.24,24601.64
313,102,117,1606,8,1555.99,1052.62,311.2,12446.32,8420.96
314,102,117,1606,9,1408.62,1052.62,0.0,12677.58,9473.58
315,102,388,5100,2,5858.65,3514.52,703.04,11717.06,7029.04
316,102,170,4695,6,2290.04,2055.3,137.4,13739.88,12331.8
317,103,37,3567,4,2607.24,1786.92,52.14,10428.88,7147.68
318,103,37,3567,7,2908.63,1786.92,87.26,20360.2,12508.44
319,104,382,869,9,10795.35,4926.94,863.63,97157.43,44342.46
320,104,243,1593,2,902.59,729.46,72.21,1805.02,1458.92
321,104,174,3540,1,9392.14,4349.09,469.61,9392.09,4349.09
322,104,308,1238,10,4991.8,3522.57,199.67,49917.6,35225.7
323,104,261,2714,6,2998.47,1751.2,149.92,17990.52,10507.2
324,105,322,508,10,2672.66,1990.98,213.81,26725.8,19909.8
325,105,491,86,3,1518.27,763.31,121.46,4554.57,2289.93
326,105,127,4307,7,6458.61,3351.1,1227.14,45208.94,23457.7
327,105,127,4307,6,3869.86,3351.1,232.19,23218.8,20106.6
328,105,214,4116,6,3828.09,1926.69,382.81,22967.94,11560.14
329,106,290,1580,4,5684.23,3091.09,1080.0,22736.16,12364.36
330,106,456,1654,7,1911.0,1342.63,114.66,13376.58,9398.41
331,106,500,1979,10,5050.52,2917.02,454.55,50504.3,29170.2
332,106,332,2719,2,4643.63,3677.21,325.05,9287.12,7354.42
333,106,355,58,8,1659.15,922.54,149.32,13272.48,7380.32
334,107,104,1211,5,7791.48,3862.47,1402.47,38956.5,19312.35
335,107,59,5077,5,4015.74,2059.63,1164.56,20077.25,10298.15
336,107,331,3144,10,8083.47,4239.59,646.68,80833.9,42395.9
337,108,335,14,4,6897.78,4022.68,551.82,27590.8,16090.72
338,108,391,4273,7,2960.85,2104.26,0.0,20725.95,14729.82
339,108,157,3897,8,6719.35,4549.08,0.0,53754.8,36392.64
340,108,320,1323,3,5975.26,2808.61,0.0,17925.78,8425.83
341,109,410,3508,6,475.95,374.54,0.0,2855.7,2247.24
342,109,5,4293,3,3634.62,2477.16,327.12,10903.59,7431.48
343,109,127,4307,10,5451.12,3351.1,327.07,54510.6,33511.0
344,110,184,3594,2,5748.07,2983.86,229.92,11496.06,5967.72
345,110,9,2362,10,991.72,654.76,39.67,9916.8,6547.6
346,110,5,4293,10,5130.75,2477.16,872.23,51305.8,24771.6
347,111,112,3153,4,3685.75,1692.86,0.0,14743.0,6771.44
348,112,113,402,8,3237.26,1787.44,938.81,25895.76,14299.52
349,112,203,1559,3,2000.46,1554.17,180.04,6001.11,4662.51
350,113,10,3116,2,1171.99,576.46,70.32,2343.86,1152.92
351,113,86,4709,2,2400.88,1144.13,0.0,4801.76,2288.26
352,113,99,4347,4,3303.65,1531.87,0.0,13214.6,6127.48
353,113,209,2329,6,6861.61,3438.74,137.23,41169.54,20632.44
354,114,291,2344,1,968.77,742.35,67.81,968.7,742.35
355,115,160,3534,10,4744.26,2599.48,474.43,47441.6,25994.8
356,115,283,4739,4,2880.57,1363.19,172.83,11522.04,5452.76
357,116,149,1595,8,2977.36,1642.27,416.83,23817.76,13138.16
358,116,272,809,6,7636.96,4490.46,0.0,45821.76,26942.76
359,116,416,1230,1,479.55,333.81,0.0,479.55,333.81
360,117,281,2742,4,6510.83,3615.3,520.87,26043.0,14461.2
361,117,129,3505,9,8145.04,3831.13,162.9,73305.18,34480.17
362,117,313,5207,2,423.35,278.04,33.87,846.54,556.08
363,117,129,3505,10,4981.38,3831.13,0.0,49813.8,38311.3
364,117,95,3163,10,3898.57,2611.69,0.0,38985.7,26116.9
365,118,408,4398,4,666.31,439.74,19.99,2665.12,1758.96
366,118,408,4398,6,876.6,439.74,0.0,5259.6,2638.44
367,118,408,4398,4,953.18,439.74,0.0,3812.72,1758.96
368,119,191,397,10,5917.57,4432.01,0.0,59175.7,44320.1
369,119,408,4398,3,545.23,439.74,0.0,1635.69,1319.22
370,119,408,4398,9,849.82,439.74,25.49,7648.11,3957.66
371,119,408,4398,1,887.47,439.74,133.12,887.32,439.74
372,119,228,800,6,5320.78,2895.03,159.62,31924.5,17370.18
373,120,392,23,9,5764.41,3652.63,0.0,51879.69,32873.67
374,120,499,4277,7,2894.7,1327.45,86.84,20262.69,9292.15
375,120,138,3947,7,1108.37,864.53,0.0,7758.59,6051.71
376,121,403,40,6,3277.92,2171.06,295.01,19666.98,13026.36
377,121,377,3117,7,5839.61,2822.75,583.96,40876.57,19759.25
378,121,291,2344,8,1030.5,742.35,30.92,8243.76,5938.8
379,121,396,2726,5,3583.75,1791.46,35.84,17918.7,8957.3
380,122,73,3563,1,891.11,407.26,80.2,-891.02,-407.26
381,122,343,5440,5,5893.69,2915.09,412.56,-29468.1,-14575.45
382,122,402,420,1,258.56,203.96,2.59,-258.55,-203.96
383,122,459,3874,3,3465.1,1776.43,0.0,-10395.3,-5329.29
384,122,98,1557,5,3807.1,2672.89,0.0,-19035.5,-13364.45
385,123,355,58,4,1125.36,922.54,67.52,4501.2,3690.16
386,124,347,3192,5,4079.67,3569.22,163.19,-20398.15,-17846.1
387,125,393,3902,6,7217.56,4420.35,0.0,43305.36,26522.1
388,125,471,2345,8,8702.21,4116.68,261.07,69617.44,32933.44
389,125,6,18,1,688.89,598.22,41.33,688.83,598.22
390,126,118,4710,5,574.65,293.91,0.0,2873.25,1469.55
391,127,283,4739,5,2723.86,1363.19,27.24,13619.25,6815.95
392,127,349,3616,6,3901.99,2056.95,0.0,23411.94,12341.7
393,128,189,3576,1,3572.46,1743.25,214.35,3572.4,1743.25
394,128,15,5442,2,3773.97,2077.14,377.4,7547.74,4154.28
395,128,34,1200,3,3564.3,2144.25,35.64,10692.87,6432.75
396,128,153,491,2,6223.83,4334.2,435.67,12447.52,8668.4
397,129,18,2702,9,190.22,117.84,15.22,-1711.26,-1060.56
398,129,383,797,4,5309.07,4329.6,424.73,-21235.96,-17318.4
399,129,285,1649,7,309.56,185.97,0.0,-2166.92,-1301.79
400,129,401,4305,5,4454.1,2920.65,311.79,-22270.15,-14603.25
401,130,53,4733,9,3911.56,2121.01,312.92,35203.32,19089.09
