log_id,product_id,change_type,quantity,unit_cost,log_date,reference_id,reference_type
187,228,IN,338,3630.0,2025-11-08,187,PURCHASE
188,485,IN,114,3605.64,2025-11-08,188,PURCHASE
189,466,IN,185,1231.39,2025-11-08,189,PURCHASE
190,382,IN,139,1205.59,2025-11-08,190,PURCHASE
191,418,IN,124,305.1,2025-11-21,191,PURCHASE
192,395,IN,194,3570.41,2025-11-21,192,PURCHASE
193,12,IN,293,2793.07,2025-11-21,193,PURCHASE
194,240,IN,209,2951.42,2025-11-21,194,PURCHASE
195,353,IN,236,2655.82,2025-11-21,195,PURCHASE
196,311,IN,277,327.41,2025-11-21,196,PURCHASE
197,290,IN,467,2154.14,2025-11-21,197,PURCHASE
198,148,IN,328,4954.84,2025-12-03,198,PURCHASE
199,419,IN,343,2959.77,2025-12-03,199,PURCHASE
200,480,IN,312,4882.88,2025-12-03,200,PURCHASE
201,55,IN,312,2176.86,2025-12-14,201,PURCHASE
202,408,IN,215,441.34,2025-12-14,202,PURCHASE
203,7,IN,298,567.16,2025-12-14,203,PURCHASE
204,307,IN,206,1847.79,2025-12-14,204,PURCHASE
205,126,IN,249,1711.88,2025-12-14,205,PURCHASE
206,398,IN,257,95.51,2025-12-14,206,PURCHASE
207,444,IN,346,4113.46,2025-12-14,207,PURCHASE
208,450,IN,384,4224.36,2025-12-21,208,PURCHASE
209,396,IN,210,1992.19,2025-12-21,209,PURCHASE
210,202,IN,435,2694.62,2025-12-21,210,PURCHASE
211,329,IN,154,4178.68,2025-12-21,211,PURCHASE
212,194,IN,47,470.15,2025-12-21,212,PURCHASE
213,216,IN,198,4396.28,2025-12-21,213,PURCHASE
214,67,IN,245,87.76,2025-12-21,214,PURCHASE
215,425,IN,18,3118.47,2025-12-28,215,PURCHASE
216,31,IN,421,3639.51,2025-12-28,216,PURCHASE
217,389,IN,192,2999.27,2025-12-28,217,PURCHASE
218,367,IN,231,4207.09,2025-12-28,218,PURCHASE
219,172,IN,269,1758.36,2025-12-28,219,PURCHASE
220,382,IN,260,2390.17,2025-12-28,220,PURCHASE
221,179,IN,261,1580.72,2025-12-28,221,PURCHASE
222,497,IN,248,4441.57,2025-12-28,222,PURCHASE
223,236,IN,195,2750.28,2025-12-28,223,PURCHASE
224,146,IN,256,4917.15,2026-01-09,224,PURCHASE
225,356,IN,346,3021.99,2026-01-09,225,PURCHASE
226,236,IN,104,4489.13,2026-01-09,226,PURCHASE
227,363,IN,161,518.53,2026-01-09,227,PURCHASE
228,215,IN,454,1174.38,2026-01-09,228,PURCHASE
229,166,IN,350,4165.42,2026-01-09,229,PURCHASE
230,457,IN,279,3779.69,2026-01-09,230,PURCHASE
231,362,IN,449,4595.48,2026-01-22,231,PURCHASE
232,43,IN,239,1946.64,2026-01-22,232,PURCHASE
233,277,IN,286,658.16,2026-01-22,233,PURCHASE
234,489,IN,216,778.91,2026-01-22,234,PURCHASE
235,423,IN,255,1715.94,2026-01-22,235,PURCHASE
236,27,IN,426,975.74,2026-01-22,236,PURCHASE
237,7,IN,305,4486.23,2026-01-22,237,PURCHASE
238,143,IN,216,4186.35,2026-01-22,238,PURCHASE
239,492,IN,319,645.35,2026-01-29,239,PURCHASE
240,171,IN,400,3516.24,2026-01-29,240,PURCHASE
241,64,IN,176,4304.06,2026-01-29,241,PURCHASE
242,489,IN,278,4992.33,2026-01-29,242,PURCHASE
243,34,IN,288,4049.41,2026-01-29,243,PURCHASE
244,299,IN,427,203.84,2026-01-29,244,PURCHASE
245,65,IN,449,1784.26,2026-01-29,245,PURCHASE
246,307,IN,254,3863.41,2026-02-12,246,PURCHASE
247,160,IN,143,2897.29,2026-02-12,247,PURCHASE
248,217,IN,211,3073.93,2026-02-12,248,PURCHASE
249,162,IN,464,4890.49,2026-02-12,249,PURCHASE
250,64,IN,327,4620.22,2026-02-12,250,PURCHASE
251,429,IN,233,1727.56,2026-02-12,251,PURCHASE
252,57,IN,283,3148.86,2026-02-26,252,PURCHASE
253,64,IN,203,2841.87,2026-02-26,253,PURCHASE
254,300,IN,284,3543.81,2026-02-26,254,PURCHASE
255,115,IN,157,2373.72,2026-02-26,255,PURCHASE
256,52,IN,119,3843.38,2026-03-09,256,PURCHASE
257,353,IN,201,2245.05,2026-03-09,257,PURCHASE
258,339,IN,217,1185.18,2026-03-09,258,PURCHASE
259,277,IN,334,3001.75,2026-03-21,259,PURCHASE
260,119,IN,115,4268.63,2026-03-21,260,PURCHASE
261,179,IN,130,3476.06,2026-03-21,261,PURCHASE
262,487,IN,378,4662.76,2026-03-21,262,PURCHASE
263,20,IN,137,1354.14,2026-03-21,263,PURCHASE
264,483,IN,263,187.74,2026-03-21,264,PURCHASE
265,50,IN,41,2026.99,2026-03-31,265,PURCHASE
266,391,IN,68,2509.84,2026-03-31,266,PURCHASE
267,30,IN,297,1051.17,2026-03-31,267,PURCHASE
268,370,IN,208,2698.22,2026-03-31,268,PURCHASE
269,209,IN,325,869.66,2026-03-31,269,PURCHASE
270,252,IN,75,3764.71,2026-04-13,270,PURCHASE
271,139,IN,213,1181.63,2026-04-13,271,PURCHASE
272,346,IN,220,1279.57,2026-04-13,272,PURCHASE
273,451,IN,136,971.0,2026-04-13,273,PURCHASE
274,142,IN,424,1510.21,2026-04-13,274,PURCHASE
275,117,IN,117,3201.62,2026-04-20,275,PURCHASE
276,455,IN,159,2997.21,2026-04-20,276,PURCHASE
277,261,IN,233,1454.99,2026-04-20,277,PURCHASE
278,419,IN,216,4901.59,2026-04-20,278,PURCHASE
279,227,IN,215,4871.42,2026-04-20,279,PURCHASE
280,46,IN,107,1773.16,2026-04-20,280,PURCHASE
281,298,IN,363,3333.7,2026-04-20,281,PURCHASE
282,213,IN,113,2696.88,2026-04-20,282,PURCHASE
283,277,IN,404,2653.11,2026-04-27,283,PURCHASE
284,59,IN,33,2908.92,2026-04-27,284,PURCHASE
285,292,IN,279,4873.15,2026-04-27,285,PURCHASE
286,436,IN,351,3470.57,2026-04-27,286,PURCHASE
287,64,IN,144,1933.07,2026-04-27,287,PURCHASE
288,362,IN,433,1079.0,2026-05-11,288,PURCHASE
289,56,IN,228,594.07,2026-05-11,289,PURCHASE
290,476,IN,301,1662.28,2026-05-11,290,PURCHASE
291,479,IN,152,2047.94,2026-05-11,291,PURCHASE
292,322,IN,61,4304.09,2026-05-11,292,PURCHASE
293,292,IN,454,4808.91,2026-05-11,293,PURCHASE
294,104,IN,354,2940.49,2026-05-11,294,PURCHASE
295,323,IN,266,558.49,2026-05-11,295,PURCHASE
296,385,IN,288,2889.41,2026-05-11,296,PURCHASE
297,380,IN,274,575.81,2026-05-19,297,PURCHASE
298,289,IN,405,3338.49,2026-05-19,298,PURCHASE
299,309,IN,216,2002.3,2026-05-19,299,PURCHASE
300,465,IN,231,201.72,2026-05-19,300,PURCHASE
301,289,IN,231,650.7,2026-06-01,301,PURCHASE
302,436,IN,111,4216.67,2026-06-01,302,PURCHASE
303,323,IN,185,1159.1,2026-06-01,303,PURCHASE
304,330,IN,314,2851.63,2026-06-01,304,PURCHASE
305,262,IN,252,4088.59,2026-06-01,305,PURCHASE
306,4,IN,259,3899.45,2026-06-01,306,PURCHASE
307,355,IN,263,2022.35,2026-06-01,307,PURCHASE
308,382,IN,311,4893.9,2026-06-01,308,PURCHASE
309,157,IN,313,4604.37,2026-06-01,309,PURCHASE
310,35,IN,174,3410.75,2026-06-08,310,PURCHASE
311,447,IN,336,3246.77,2026-06-08,311,PURCHASE
312,70,IN,264,726.48,2026-06-08,312,PURCHASE
313,299,IN,128,4432.64,2026-06-16,313,PURCHASE
314,338,IN,325,3525.58,2026-06-16,314,PURCHASE
315,217,IN,245,4280.56,2026-06-16,315,PURCHASE
316,19,IN,263,4744.96,2026-06-28,316,PURCHASE
317,225,IN,138,919.01,2026-06-28,317,PURCHASE
318,146,IN,90,2026.57,2026-06-28,318,PURCHASE
319,421,IN,163,400.19,2026-07-07,319,PURCHASE
320,395,IN,153,4922.92,2026-07-07,320,PURCHASE
321,169,IN,403,3893.97,2026-07-07,321,PURCHASE
322,416,IN,252,4438.99,2026-07-15,322,PURCHASE
323,445,IN,42,1295.46,2026-07-15,323,PURCHASE
324,329,IN,203,4298.12,2026-07-15,324,PURCHASE
325,405,IN,184,3738.68,2026-07-15,325,PURCHASE
326,425,IN,215,3009.48,2026-07-15,326,PURCHASE
327,353,IN,164,2583.21,2026-07-15,327,PURCHASE
328,454,IN,171,625.36,2026-07-15,328,PURCHASE
329,183,IN,183,2675.46,2026-07-15,329,PURCHASE
330,269,IN,69,2483.09,2026-07-15,330,PURCHASE
331,370,IN,164,2220.74,2026-07-27,331,PURCHASE
332,35,IN,410,2544.0,2026-07-27,332,PURCHASE
333,154,IN,133,4013.21,2026-07-27,333,PURCHASE
334,23,IN,158,4543.73,2026-07-27,334,PURCHASE
335,163,IN,285,2742.5,2026-07-27,335,PURCHASE
336,205,IN,264,1784.88,2026-07-27,336,PURCHASE
337,83,IN,281,3157.92,2026-07-27,337,PURCHASE
338,59,IN,113,2340.72,2026-07-27,338,PURCHASE
339,14,IN,212,3534.4,2026-07-27,339,PURCHASE
340,499,IN,392,413.76,2026-08-06,340,PURCHASE
341,154,IN,279,663.75,2026-08-06,341,PURCHASE
342,75,IN,238,2509.4,2026-08-06,342,PURCHASE
343,3,IN,342,2132.46,2026-08-06,343,PURCHASE
344,367,IN,249,4240.89,2026-08-06,344,PURCHASE
345,340,IN,222,3674.73,2026-08-06,345,PURCHASE
346,254,IN,49,3303.12,2026-08-06,346,PURCHASE
347,78,IN,243,926.21,2026-08-06,347,PURCHASE
348,389,IN,59,4188.22,2026-08-06,348,PURCHASE
349,160,IN,304,3646.61,2026-08-13,349,PURCHASE
350,10,IN,280,223.83,2026-08-13,350,PURCHASE
351,20,IN,274,885.4,2026-08-13,351,PURCHASE
352,259,IN,87,1629.11,2026-08-13,352,PURCHASE
353,397,IN,388,2888.4,2026-08-22,353,PURCHASE
354,482,IN,33,4779.85,2026-08-22,354,PURCHASE
355,491,IN,221,4849.95,2026-08-22,355,PURCHASE
356,403,IN,133,3367.3,2026-08-22,356,PURCHASE
357,369,IN,185,1008.49,2026-08-22,357,PURCHASE
358,432,IN,173,2121.72,2026-08-22,358,PURCHASE
359,233,IN,169,2110.32,2026-08-31,359,PURCHASE
360,236,IN,252,3216.1,2026-08-31,360,PURCHASE
361,459,IN,447,562.2,2026-08-31,361,PURCHASE
362,385,IN,203,2579.87,2026-08-31,362,PURCHASE
363,399,IN,372,444.77,2026-08-31,363,PURCHASE
364,422,IN,256,1704.05,2026-08-31,364,PURCHASE
365,143,IN,331,1583.22,2026-08-31,365,PURCHASE
366,458,IN,256,1572.95,2026-08-31,366,PURCHASE
367,210,IN,422,520.1,2026-08-31,367,PURCHASE
368,123,IN,282,3656.34,2026-08-31,368,PURCHASE
369,26,IN,439,3010.13,2026-09-11,369,PURCHASE
370,27,IN,180,3952.65,2026-09-11,370,PURCHASE
371,228,IN,158,3127.0,2026-09-11,371,PURCHASE
372,56,IN,283,4712.94,2026-09-23,372,PURCHASE
373,446,IN,192,2833.43,2026-09-23,373,PURCHASE
374,120,IN,236,706.31,2026-09-23,374,PURCHASE
375,367,IN,319,433.44,2026-09-23,375,PURCHASE
376,449,IN,367,2600.24,2025-01-14,376,PURCHASE
377,460,IN,213,3323.67,2025-01-14,377,PURCHASE
378,298,IN,403,691.74,2025-01-14,378,PURCHASE
379,215,IN,280,459.14,2025-01-14,379,PURCHASE
380,424,IN,113,214.64,2025-01-14,380,PURCHASE
381,196,IN,140,1841.94,2025-01-21,381,PURCHASE
382,78,IN,44,3394.15,2025-01-21,382,PURCHASE
383,145,IN,179,2520.02,2025-01-21,383,PURCHASE
384,326,IN,410,112.39,2025-02-02,384,PURCHASE
385,79,IN,110,1219.97,2025-02-02,385,PURCHASE
386,46,IN,265,2366.35,2025-02-02,386,PURCHASE
387,195,IN,373,682.13,2025-02-02,387,PURCHASE
388,50,IN,435,4692.32,2025-02-02,388,PURCHASE
389,438,IN,268,2371.54,2025-02-02,389,PURCHASE
390,17,IN,246,1531.11,2025-02-02,390,PURCHASE
391,171,IN,201,1940.44,2025-02-02,391,PURCHASE
392,314,IN,307,2991.28,2025-02-02,392,PURCHASE
393,493,IN,302,614.42,2025-02-02,393,PURCHASE
394,164,IN,130,3904.66,2025-02-16,394,PURCHASE
395,330,IN,231,2138.32,2025-02-16,395,PURCHASE
396,199,IN,180,2348.18,2025-02-16,396,PURCHASE
397,191,IN,130,4432.01,2025-02-16,397,PURCHASE
398,271,IN,396,387.22,2025-02-16,398,PURCHASE
399,230,IN,220,2743.14,2025-02-16,399,PURCHASE
400,371,IN,361,3335.08,2025-02-16,400,PURCHASE
401,420,IN,207,3136.78,2025-02-16,401,PURCHASE
402,113,IN,211,1787.44,2025-02-16,402,PURCHASE
403,494,IN,98,4077.16,2025-02-16,403,PURCHASE
404,434,IN,368,3163.66,2025-03-01,404,PURCHASE
405,275,IN,115,533.19,2025-03-01,405,PURCHASE
406,41,IN,312,1228.17,2025-03-01,406,PURCHASE
407,407,IN,203,3220.38,2025-03-15,407,PURCHASE
408,133,IN,191,3998.18,2025-03-15,408,PURCHASE
409,221,IN,325,3791.3,2025-03-15,409,PURCHASE
410,390,IN,133,348.75,2025-03-15,410,PURCHASE
411,286,IN,230,227.81,2025-03-23,411,PURCHASE
412,51,IN,378,1481.68,2025-03-23,412,PURCHASE
413,334,IN,141,2972.39,2025-03-23,413,PURCHASE
414,273,IN,322,3065.75,2025-03-23,414,PURCHASE
415,228,IN,123,1923.82,2025-03-23,415,PURCHASE
416,217,IN,336,183.52,2025-03-31,416,PURCHASE
417,11,IN,196,2806.37,2025-03-31,417,PURCHASE
418,337,IN,200,3080.33,2025-03-31,418,PURCHASE
419,440,IN,365,4434.7,2025-03-31,419,PURCHASE
420,402,IN,249,203.96,2025-03-31,420,PURCHASE
421,60,IN,118,4902.56,2025-03-31,421,PURCHASE
422,101,IN,105,3753.83,2025-03-31,422,PURCHASE
423,27,IN,106,547.59,2025-03-31,423,PURCHASE
424,97,IN,343,102.81,2025-03-31,424,PURCHASE
425,241,IN,187,2355.68,2025-04-08,425,PURCHASE
426,49,IN,352,3383.13,2025-04-08,426,PURCHASE
427,192,IN,205,2569.42,2025-04-08,427,PURCHASE
428,458,IN,194,369.3,2025-04-08,428,PURCHASE
429,253,IN,309,1015.37,2025-04-08,429,PURCHASE
430,15,IN,265,1640.33,2025-04-19,430,PURCHASE
431,465,IN,93,101.09,2025-04-19,431,PURCHASE
432,52,IN,434,1863.81,2025-04-19,432,PURCHASE
433,144,IN,393,3109.08,2025-04-19,433,PURCHASE
434,148,IN,277,853.64,2025-04-19,434,PURCHASE
435,299,IN,481,267.41,2025-04-19,435,PURCHASE
436,194,IN,296,2164.43,2025-04-19,436,PURCHASE
437,305,IN,63,1748.38,2025-04-19,437,PURCHASE
438,167,IN,330,74.77,2025-04-19,438,PURCHASE
439,367,IN,318,2469.64,2025-05-01,439,PURCHASE
440,109,IN,402,478.6,2025-05-01,440,PURCHASE
441,362,IN,254,178.67,2025-05-01,441,PURCHASE
442,351,IN,111,1559.9,2025-05-01,442,PURCHASE
443,38,IN,296,2332.62,2025-05-12,443,PURCHASE
444,400,IN,373,2230.39,2025-05-12,444,PURCHASE
445,72,IN,339,1036.09,2025-05-12,445,PURCHASE
446,257,IN,263,3902.53,2025-05-12,446,PURCHASE
447,12,IN,173,3178.27,2025-05-12,447,PURCHASE
448,181,IN,158,1130.8,2025-05-23,448,PURCHASE
449,164,IN,170,1051.98,2025-05-23,449,PURCHASE
450,19,IN,293,1717.49,2025-05-23,450,PURCHASE
451,418,IN,124,2206.17,2025-05-23,451,PURCHASE
452,299,IN,115,2885.48,2025-05-23,452,PURCHASE
453,482,IN,192,826.47,2025-05-23,453,PURCHASE
454,231,IN,293,4444.39,2025-05-31,454,PURCHASE
455,490,IN,443,2762.26,2025-05-31,455,PURCHASE
456,293,IN,327,910.53,2025-05-31,456,PURCHASE
457,424,IN,355,4429.33,2025-05-31,457,PURCHASE
458,92,IN,293,3362.66,2025-05-31,458,PURCHASE
459,290,IN,259,1371.21,2025-05-31,459,PURCHASE
460,500,IN,461,1498.08,2025-05-31,460,PURCHASE
461,152,IN,288,4834.16,2025-05-31,461,PURCHASE
462,458,IN,296,819.68,2025-05-31,462,PURCHASE
463,444,IN,183,1260.73,2025-06-13,463,PURCHASE
464,257,IN,182,2768.79,2025-06-13,464,PURCHASE
465,56,IN,104,1472.04,2025-06-13,465,PURCHASE
466,352,IN,140,804.08,2025-06-13,466,PURCHASE
467,59,IN,383,1201.82,2025-06-13,467,PURCHASE
