product_name,product_description,part_number,category_id,supplier_id,storage_location,date_added,last_update,status,unit_cost,retail_price
Auto Part 21,Description for Auto Part 21,PN00021,51,518,Location 18,2025-12-11 00:00:00,2026-04-24 00:00:00,ACTIVE,204.73,502.06
Auto Part 22,Description for Auto Part 22,PN00022,44,780,Location 20,2025-09-12 00:00:00,2026-02-27 00:00:00,ACTIVE,287.95,528.25
Auto Part 23,Description for Auto Part 23,PN00023,11,763,Location 2,2025-12-01 00:00:00,2026-03-02 00:00:00,ACTIVE,131.81,283.18
Auto Part 24,Description for Auto Part 24,PN00024,26,232,Location 15,2025-08-18 00:00:00,2025-09-27 00:00:00,ACTIVE,305.87,549.11
Auto Part 25,Description for Auto Part 25,PN00025,27,573,Location 15,2025-01-25 00:00:00,2026-01-06 00:00:00,ACTIVE,87.06,138.97
Auto Part 26,Description for Auto Part 26,PN00026,38,588,Location 8,2025-10-07 00:00:00,2026-03-18 00:00:00,ACTIVE,328.26,413.43
Auto Part 27,Description for Auto Part 27,PN00027,70,503,Location 9,2026-04-19 00:00:00,2026-04-22 00:00:00,ACTIVE,441.09,1015.11
Auto Part 28,Description for Auto Part 28,PN00028,11,841,Location 19,2025-01-14 00:00:00,2026-03-26 00:00:00,ACTIVE,98.22,194.24
Auto Part 29,Description for Auto Part 29,PN00029,60,943,Location 20,2025-12-06 00:00:00,2026-02-09 00:00:00,ACTIVE,174.79,389.56
Auto Part 30,Description for Auto Part 30,PN00030,28,391,Location 7,2025-01-01 00:00:00,2026-02-20 00:00:00,INACTIVE,330.25,427.44
Auto Part 31,Description for Auto Part 31,PN00031,5,50,Location 6,2026-03-21 00:00:00,2026-03-31 00:00:00,ACTIVE,401.04,715.42
Auto Part 32,Description for Auto Part 32,PN00032,21,684,Location 9,2026-01-06 00:00:00,2026-03-26 00:00:00,ACTIVE,364.93,421.88
Auto Part 33,Description for Auto Part 33,PN00033,37,660,Location 18,2025-01-23 00:00:00,2025-10-26 00:00:00,ACTIVE,269.24,529.34
Auto Part 34,Description for Auto Part 34,PN00034,59,759,Location 1,2025-07-22 00:00:00,2025-12-01 00:00:00,ACTIVE,426.12,672.52
Auto Part 35,Description for Auto Part 35,PN00035,50,120,Location 3,2025-06-26 00:00:00,2025-08-09 00:00:00,ACTIVE,63.16,134.46
Auto Part 36,Description for Auto Part 36,PN00036,64,804,Location 7,2025-01-06 00:00:00,2026-01-20 00:00:00,ACTIVE,146.59,360.66
Auto Part 37,Description for Auto Part 37,PN00037,2,566,Location 20,2025-02-07 00:00:00,2025-09-09 00:00:00,ACTIVE,143.11,268.62
Auto Part 38,Description for Auto Part 38,PN00038,32,484,Location 3,2025-11-02 00:00:00,2025-12-30 00:00:00,ACTIVE,396.78,957.16
Auto Part 39,Description for Auto Part 39,PN00039,17,960,Location 11,2025-02-14 00:00:00,2025-06-14 00:00:00,ACTIVE,292.59,690.48
Auto Part 40,Description for Auto Part 40,PN00040,32,16,Location 9,2025-07-17 00:00:00,2026-04-27 00:00:00,ACTIVE,407.66,448.63
Auto Part 41,Description for Auto Part 41,PN00041,7,143,Location 8,2025-03-31 00:00:00,2025-11-24 00:00:00,ACTIVE,226.2,544.06
Auto Part 42,Description for Auto Part 42,PN00042,16,172,Location 14,2025-03-13 00:00:00,2025-08-10 00:00:00,INACTIVE,415.64,596.19
Auto Part 43,Description for Auto Part 43,PN00043,2,499,Location 11,2025-01-01 00:00:00,2025-01-04 00:00:00,ACTIVE,158.0,380.76
Auto Part 44,Description for Auto Part 44,PN00044,4,184,Location 4,2025-05-09 00:00:00,2025-11-29 00:00:00,ACTIVE,413.42,654.78
Auto Part 45,Description for Auto Part 45,PN00045,46,620,Location 14,2025-09-22 00:00:00,2026-04-27 00:00:00,INACTIVE,113.01,148.8
Auto Part 46,Description for Auto Part 46,PN00046,11,33,Location 15,2025-01-28 00:00:00,2025-10-31 00:00:00,ACTIVE,85.83,104.09
Auto Part 47,Description for Auto Part 47,PN00047,31,968,Location 3,2025-11-07 00:00:00,2025-11-19 00:00:00,ACTIVE,175.06,377.34
Auto Part 48,Description for Auto Part 48,PN00048,28,747,Location 3,2026-03-10 00:00:00,2026-03-12 00:00:00,INACTIVE,259.69,420.47
Auto Part 49,Description for Auto Part 49,PN00049,54,172,Location 8,2026-03-16 00:00:00,2026-04-06 00:00:00,ACTIVE,94.64,124.12
Auto Part 50,Description for Auto Part 50,PN00050,11,399,Location 7,2025-03-30 00:00:00,2025-09-20 00:00:00,ACTIVE,198.98,258.82
Auto Part 51,Description for Auto Part 51,PN00051,43,870,Location 10,2025-02-02 00:00:00,2025-05-02 00:00:00,ACTIVE,454.14,886.59
Auto Part 52,Description for Auto Part 52,PN00052,12,812,Location 7,2025-08-02 00:00:00,2025-08-18 00:00:00,ACTIVE,274.91,431.84
Auto Part 53,Description for Auto Part 53,PN00053,22,671,Location 11,2025-02-07 00:00:00,2026-04-08 00:00:00,INACTIVE,421.22,989.18
Auto Part 54,Description for Auto Part 54,PN00054,15,571,Location 14,2025-05-12 00:00:00,2026-03-30 00:00:00,INACTIVE,383.95,827.79
Auto Part 55,Description for Auto Part 55,PN00055,51,621,Location 5,2025-03-06 00:00:00,2026-02-10 00:00:00,INACTIVE,374.88,600.39
Auto Part 56,Description for Auto Part 56,PN00056,9,150,Location 18,2025-11-10 00:00:00,2026-03-05 00:00:00,ACTIVE,242.87,495.05
Auto Part 57,Description for Auto Part 57,PN00057,28,901,Location 8,2025-04-27 00:00:00,2026-01-28 00:00:00,ACTIVE,373.84,858.54
Auto Part 58,Description for Auto Part 58,PN00058,57,706,Location 11,2025-08-12 00:00:00,2026-02-11 00:00:00,ACTIVE,435.18,849.37
Auto Part 59,Description for Auto Part 59,PN00059,57,370,Location 8,2026-01-15 00:00:00,2026-01-18 00:00:00,ACTIVE,266.65,599.09
Auto Part 60,Description for Auto Part 60,PN00060,66,539,Location 20,2025-02-11 00:00:00,2026-04-10 00:00:00,ACTIVE,94.97,195.26
Auto Part 61,Description for Auto Part 61,PN00061,22,236,Location 20,2025-08-16 00:00:00,2026-04-03 00:00:00,ACTIVE,487.55,602.01
Auto Part 62,Description for Auto Part 62,PN00062,25,115,Location 18,2025-11-01 00:00:00,2025-12-23 00:00:00,ACTIVE,441.47,810.35
Auto Part 63,Description for Auto Part 63,PN00063,21,983,Location 12,2025-09-18 00:00:00,2026-04-03 00:00:00,ACTIVE,478.46,915.42
Auto Part 64,Description for Auto Part 64,PN00064,53,526,Location 8,2026-02-15 00:00:00,2026-04-17 00:00:00,ACTIVE,273.58,454.41
Auto Part 65,Description for Auto Part 65,PN00065,57,508,Location 18,2025-10-03 00:00:00,2026-03-20 00:00:00,ACTIVE,301.31,444.62
Auto Part 66,Description for Auto Part 66,PN00066,35,406,Location 7,2025-03-30 00:00:00,2025-08-17 00:00:00,ACTIVE,452.78,730.26
Auto Part 67,Description for Auto Part 67,PN00067,68,461,Location 8,2025-10-18 00:00:00,2026-01-23 00:00:00,ACTIVE,336.28,496.36
Auto Part 68,Description for Auto Part 68,PN00068,28,16,Location 17,2026-01-21 00:00:00,2026-04-18 00:00:00,ACTIVE,245.6,310.77
Auto Part 69,Description for Auto Part 69,PN00069,55,163,Location 19,2025-08-12 00:00:00,2025-09-05 00:00:00,ACTIVE,472.85,1079.29
Auto Part 70,Description for Auto Part 70,PN00070,11,70,Location 10,2025-05-21 00:00:00,2026-03-25 00:00:00,ACTIVE,461.7,827.22
Auto Part 71,Description for Auto Part 71,PN00071,16,389,Location 6,2025-08-24 00:00:00,2026-03-19 00:00:00,ACTIVE,202.63,437.02
Auto Part 72,Description for Auto Part 72,PN00072,56,335,Location 14,2026-02-03 00:00:00,2026-04-19 00:00:00,ACTIVE,177.91,374.45
Auto Part 73,Description for Auto Part 73,PN00073,58,526,Location 1,2025-07-08 00:00:00,2026-04-05 00:00:00,ACTIVE,191.44,426.31
Auto Part 74,Description for Auto Part 74,PN00074,32,411,Location 19,2025-03-17 00:00:00,2025-04-27 00:00:00,ACTIVE,258.9,617.09
Auto Part 75,Description for Auto Part 75,PN00075,40,981,Location 10,2026-02-26 00:00:00,2026-04-02 00:00:00,ACTIVE,342.7,594.48
Auto Part 76,Description for Auto Part 76,PN00076,69,395,Location 20,2025-10-28 00:00:00,2025-11-09 00:00:00,ACTIVE,333.83,496.44
Auto Part 77,Description for Auto Part 77,PN00077,9,809,Location 8,2026-03-02 00:00:00,2026-03-10 00:00:00,ACTIVE,310.91,722.24
Auto Part 78,Description for Auto Part 78,PN00078,42,46,Location 15,2026-01-09 00:00:00,2026-03-05 00:00:00,ACTIVE,315.95,366.66
Auto Part 79,Description for Auto Part 79,PN00079,56,571,Location 17,2025-04-09 00:00:00,2025-12-14 00:00:00,ACTIVE,428.47,1001.19
Auto Part 80,Description for Auto Part 80,PN00080,1,663,Location 20,2025-03-17 00:00:00,2025-08-01 00:00:00,ACTIVE,325.14,370.78
Auto Part 81,Description for Auto Part 81,PN00081,62,847,Location 6,2025-04-30 00:00:00,2025-10-02 00:00:00,ACTIVE,409.38,753.02
Auto Part 82,Description for Auto Part 82,PN00082,69,800,Location 14,2025-04-19 00:00:00,2025-12-04 00:00:00,ACTIVE,204.46,236.32
Auto Part 83,Description for Auto Part 83,PN00083,69,536,Location 18,2026-03-23 00:00:00,2026-03-24 00:00:00,ACTIVE,469.69,1031.1
Auto Part 84,Description for Auto Part 84,PN00084,22,58,Location 4,2025-06-22 00:00:00,2025-12-29 00:00:00,ACTIVE,258.29,508.61
Auto Part 85,Description for Auto Part 85,PN00085,47,639,Location 1,2026-02-25 00:00:00,2026-03-16 00:00:00,ACTIVE,427.25,921.2
Auto Part 86,Description for Auto Part 86,PN00086,61,896,Location 4,2026-02-20 00:00:00,2026-03-05 00:00:00,INACTIVE,413.8,677.1
Auto Part 87,Description for Auto Part 87,PN00087,50,38,Location 2,2025-05-15 00:00:00,2026-02-20 00:00:00,ACTIVE,485.15,932.72
Auto Part 88,Description for Auto Part 88,PN00088,41,500,Location 5,2025-04-25 00:00:00,2026-04-17 00:00:00,ACTIVE,360.93,886.43
Auto Part 89,Description for Auto Part 89,PN00089,33,427,Location 16,2025-10-12 00:00:00,2026-01-05 00:00:00,ACTIVE,223.0,465.82
Auto Part 90,Description for Auto Part 90,PN00090,61,165,Location 1,2025-11-18 00:00:00,2025-12-24 00:00:00,ACTIVE,161.69,294.18
Auto Part 91,Description for Auto Part 91,PN00091,66,128,Location 7,2025-02-23 00:00:00,2026-03-11 00:00:00,ACTIVE,95.81,211.44
Auto Part 92,Description for Auto Part 92,PN00092,25,33,Location 15,2025-03-28 00:00:00,2025-07-08 00:00:00,ACTIVE,75.02,108.84
Auto Part 93,Description for Auto Part 93,PN00093,13,746,Location 5,2026-01-11 00:00:00,2026-03-29 00:00:00,ACTIVE,345.48,466.09
Auto Part 94,Description for Auto Part 94,PN00094,2,736,Location 6,2025-02-07 00:00:00,2026-03-07 00:00:00,ACTIVE,280.91,697.69
Auto Part 95,Description for Auto Part 95,PN00095,3,283,Location 3,2026-03-16 00:00:00,2026-03-29 00:00:00,ACTIVE,373.45,516.79
Auto Part 96,Description for Auto Part 96,PN00096,20,176,Location 15,2025-02-22 00:00:00,2025-12-27 00:00:00,INACTIVE,485.86,1009.56
Auto Part 97,Description for Auto Part 97,PN00097,46,937,Location 16,2025-07-06 00:00:00,2026-04-09 00:00:00,ACTIVE,487.2,1058.1
Auto Part 98,Description for Auto Part 98,PN00098,9,763,Location 11,2025-06-28 00:00:00,2025-12-02 00:00:00,ACTIVE,199.46,472.42
Auto Part 99,Description for Auto Part 99,PN00099,58,568,Location 20,2025-11-07 00:00:00,2026-03-26 00:00:00,ACTIVE,265.71,416.44
Auto Part 100,Description for Auto Part 100,PN00100,19,813,Location 18,2026-03-27 00:00:00,2026-04-27 00:00:00,ACTIVE,227.43,493.65
Auto Part 101,Description for Auto Part 101,PN00101,34,726,Location 17,2025-12-31 00:00:00,2026-04-25 00:00:00,ACTIVE,103.96,115.27
Auto Part 102,Description for Auto Part 102,PN00102,54,141,Location 4,2026-04-17 00:00:00,2026-04-22 00:00:00,ACTIVE,495.76,753.6
Auto Part 103,Description for Auto Part 103,PN00103,31,531,Location 4,2026-02-10 00:00:00,2026-04-17 00:00:00,ACTIVE,68.84,165.78
Auto Part 104,Description for Auto Part 104,PN00104,70,940,Location 6,2025-09-01 00:00:00,2026-03-29 00:00:00,INACTIVE,134.52,153.9
Auto Part 105,Description for Auto Part 105,PN00105,26,286,Location 2,2025-07-15 00:00:00,2026-04-22 00:00:00,ACTIVE,76.38,187.47
Auto Part 106,Description for Auto Part 106,PN00106,46,825,Location 10,2025-02-12 00:00:00,2025-07-26 00:00:00,ACTIVE,307.74,647.01
Auto Part 107,Description for Auto Part 107,PN00107,16,65,Location 17,2025-01-15 00:00:00,2025-12-03 00:00:00,ACTIVE,434.81,1017.68
Auto Part 108,Description for Auto Part 108,PN00108,61,30,Location 4,2026-02-03 00:00:00,2026-02-20 00:00:00,ACTIVE,95.65,202.97
Auto Part 109,Description for Auto Part 109,PN00109,17,689,Location 2,2025-06-03 00:00:00,2025-07-30 00:00:00,ACTIVE,134.85,276.06
Auto Part 110,Description for Auto Part 110,PN00110,3,560,Location 7,2026-01-25 00:00:00,2026-02-15 00:00:00,ACTIVE,435.49,782.51
Auto Part 111,Description for Auto Part 111,PN00111,4,969,Location 6,2026-04-18 00:00:00,2026-04-18 00:00:00,ACTIVE,54.97,72.56
Auto Part 112,Description for Auto Part 112,PN00112,10,436,Location 7,2025-09-08 00:00:00,2026-03-10 00:00:00,ACTIVE,96.68,238.84
Auto Part 113,Description for Auto Part 113,PN00113,63,29,Location 10,2026-04-14 00:00:00,2026-04-15 00:00:00,ACTIVE,353.15,470.99
Auto Part 114,Description for Auto Part 114,PN00114,64,437,Location 4,2026-01-21 00:00:00,2026-02-18 00:00:00,ACTIVE,431.57,1062.89
Auto Part 115,Description for Auto Part 115,PN00115,54,273,Location 12,2026-04-16 00:00:00,2026-04-19 00:00:00,ACTIVE,364.21,777.2
Auto Part 116,Description for Auto Part 116,PN00116,41,939,Location 2,2026-01-29 00:00:00,2026-02-21 00:00:00,ACTIVE,292.04,365.53
Auto Part 117,Description for Auto Part 117,PN00117,64,362,Location 17,2025-10-04 00:00:00,2025-10-22 00:00:00,ACTIVE,205.3,302.68
Auto Part 118,Description for Auto Part 118,PN00118,5,413,Location 20,2025-04-08 00:00:00,2026-03-09 00:00:00,ACTIVE,307.06,587.84
Auto Part 119,Description for Auto Part 119,PN00119,20,554,Location 16,2025-11-17 00:00:00,2026-04-13 00:00:00,ACTIVE,377.19,772.73
Auto Part 120,Description for Auto Part 120,PN00120,68,532,Location 7,2025-10-28 00:00:00,2025-12-01 00:00:00,ACTIVE,66.27,75.85
Auto Part 121,Description for Auto Part 121,PN00121,50,36,Location 20,2025-08-28 00:00:00,2026-02-21 00:00:00,ACTIVE,238.99,504.45
Auto Part 122,Description for Auto Part 122,PN00122,51,825,Location 17,2025-09-16 00:00:00,2026-03-27 00:00:00,ACTIVE,243.04,295.38
Auto Part 123,Description for Auto Part 123,PN00123,47,186,Location 8,2025-10-06 00:00:00,2025-10-25 00:00:00,ACTIVE,171.77,404.57
Auto Part 124,Description for Auto Part 124,PN00124,16,956,Location 16,2026-03-11 00:00:00,2026-03-14 00:00:00,INACTIVE,421.06,508.17
Auto Part 125,Description for Auto Part 125,PN00125,57,579,Location 4,2025-04-12 00:00:00,2025-12-24 00:00:00,ACTIVE,291.59,539.52
Auto Part 126,Description for Auto Part 126,PN00126,56,809,Location 20,2025-10-04 00:00:00,2025-11-05 00:00:00,ACTIVE,455.99,824.81
Auto Part 127,Description for Auto Part 127,PN00127,13,435,Location 7,2025-04-26 00:00:00,2026-04-25 00:00:00,ACTIVE,250.22,375.05
Auto Part 128,Description for Auto Part 128,PN00128,5,143,Location 8,2025-03-30 00:00:00,2025-11-16 00:00:00,ACTIVE,218.7,279.18
Auto Part 129,Description for Auto Part 129,PN00129,27,401,Location 7,2025-01-27 00:00:00,2025-06-12 00:00:00,ACTIVE,396.49,567.42
Auto Part 130,Description for Auto Part 130,PN00130,59,477,Location 4,2025-12-24 00:00:00,2026-04-26 00:00:00,ACTIVE,453.18,777.93
Auto Part 131,Description for Auto Part 131,PN00131,18,97,Location 19,2025-03-02 00:00:00,2025-06-03 00:00:00,ACTIVE,84.49,197.92
Auto Part 132,Description for Auto Part 132,PN00132,47,352,Location 1,2025-08-13 00:00:00,2025-08-27 00:00:00,ACTIVE,235.85,584.38
Auto Part 133,Description for Auto Part 133,PN00133,8,41,Location 14,2025-02-22 00:00:00,2025-04-25 00:00:00,ACTIVE,225.11,253.5
Auto Part 134,Description for Auto Part 134,PN00134,20,5,Location 19,2025-02-09 00:00:00,2025-07-21 00:00:00,INACTIVE,178.68,330.3
Auto Part 135,Description for Auto Part 135,PN00135,59,737,Location 6,2026-03-31 00:00:00,2026-04-18 00:00:00,ACTIVE,305.89,408.63
Auto Part 136,Description for Auto Part 136,PN00136,29,964,Location 15,2025-04-13 00:00:00,2026-04-13 00:00:00,ACTIVE,84.05,185.87
Auto Part 137,Description for Auto Part 137,PN00137,7,208,Location 6,2025-07-02 00:00:00,2026-01-01 00:00:00,ACTIVE,343.61,631.67
Auto Part 138,Description for Auto Part 138,PN00138,25,220,Location 15,2025-04-19 00:00:00,2026-01-02 00:00:00,ACTIVE,231.17,272.99
Auto Part 139,Description for Auto Part 139,PN00139,7,165,Location 9,2026-04-19 00:00:00,2026-04-23 00:00:00,ACTIVE,237.84,375.35
Auto Part 140,Description for Auto Part 140,PN00140,14,917,Location 16,2025-12-18 00:00:00,2026-03-10 00:00:00,ACTIVE,341.65,542.71
Auto Part 141,Description for Auto Part 141,PN00141,28,600,Location 7,2025-08-12 00:00:00,2025-10-03 00:00:00,INACTIVE,332.05,640.77
Auto Part 142,Description for Auto Part 142,PN00142,50,488,Location 6,2025-04-23 00:00:00,2025-05-22 00:00:00,ACTIVE,80.67,131.8
Auto Part 143,Description for Auto Part 143,PN00143,31,323,Location 5,2025-02-06 00:00:00,2025-03-15 00:00:00,ACTIVE,476.94,782.55
Auto Part 144,Description for Auto Part 144,PN00144,70,148,Location 1,2025-11-06 00:00:00,2026-04-17 00:00:00,ACTIVE,112.29,250.68
Auto Part 145,Description for Auto Part 145,PN00145,53,801,Location 20,2026-02-21 00:00:00,2026-03-07 00:00:00,ACTIVE,245.56,430.62
Auto Part 146,Description for Auto Part 146,PN00146,43,798,Location 11,2025-12-03 00:00:00,2026-04-01 00:00:00,ACTIVE,294.96,533.3
Auto Part 147,Description for Auto Part 147,PN00147,59,893,Location 16,2026-04-01 00:00:00,2026-04-22 00:00:00,ACTIVE,402.52,489.44
Auto Part 148,Description for Auto Part 148,PN00148,5,782,Location 18,2025-02-04 00:00:00,2026-01-05 00:00:00,ACTIVE,53.52,96.97
Auto Part 149,Description for Auto Part 149,PN00149,49,285,Location 11,2026-02-05 00:00:00,2026-03-10 00:00:00,ACTIVE,51.98,113.0
Auto Part 150,Description for Auto Part 150,PN00150,58,62,Location 15,2026-04-11 00:00:00,2026-04-16 00:00:00,ACTIVE,250.86,429.2
Auto Part 151,Description for Auto Part 151,PN00151,45,862,Location 10,2025-05-23 00:00:00,2025-06-18 00:00:00,ACTIVE,175.44,352.89
Auto Part 152,Description for Auto Part 152,PN00152,49,972,Location 11,2025-08-05 00:00:00,2025-10-22 00:00:00,ACTIVE,297.14,438.24
Auto Part 153,Description for Auto Part 153,PN00153,3,246,Location 13,2026-02-28 00:00:00,2026-04-15 00:00:00,INACTIVE,276.26,570.34
Auto Part 154,Description for Auto Part 154,PN00154,68,286,Location 20,2025-06-16 00:00:00,2025-11-26 00:00:00,ACTIVE,247.57,594.88
Auto Part 155,Description for Auto Part 155,PN00155,52,410,Location 18,2025-03-28 00:00:00,2025-06-26 00:00:00,ACTIVE,66.36,158.18
Auto Part 156,Description for Auto Part 156,PN00156,63,714,Location 19,2025-02-15 00:00:00,2026-01-27 00:00:00,INACTIVE,455.3,743.5
Auto Part 157,Description for Auto Part 157,PN00157,56,868,Location 15,2025-03-01 00:00:00,2025-04-14 00:00:00,ACTIVE,252.94,612.83
Auto Part 158,Description for Auto Part 158,PN00158,57,227,Location 14,2025-04-02 00:00:00,2026-04-08 00:00:00,INACTIVE,198.05,405.14
Auto Part 159,Description for Auto Part 159,PN00159,22,773,Location 15,2025-09-20 00:00:00,2025-10-04 00:00:00,ACTIVE,116.5,219.35
Auto Part 160,Description for Auto Part 160,PN00160,18,768,Location 8,2026-02-13 00:00:00,2026-04-18 00:00:00,ACTIVE,478.11,550.28
Auto Part 161,Description for Auto Part 161,PN00161,44,303,Location 18,2026-02-15 00:00:00,2026-04-01 00:00:00,ACTIVE,361.67,556.17
Auto Part 162,Description for Auto Part 162,PN00162,10,707,Location 6,2025-09-02 00:00:00,2025-10-18 00:00:00,ACTIVE,359.71,613.59
Auto Part 163,Description for Auto Part 163,PN00163,13,325,Location 16,2025-10-06 00:00:00,2025-12-18 00:00:00,ACTIVE,96.22,186.68
Auto Part 164,Description for Auto Part 164,PN00164,37,316,Location 1,2025-01-11 00:00:00,2025-12-07 00:00:00,ACTIVE,152.4,257.28
Auto Part 165,Description for Auto Part 165,PN00165,37,692,Location 14,2025-02-24 00:00:00,2026-04-15 00:00:00,INACTIVE,303.21,466.09
Auto Part 166,Description for Auto Part 166,PN00166,44,105,Location 2,2025-03-09 00:00:00,2025-04-15 00:00:00,ACTIVE,260.18,374.8
Auto Part 167,Description for Auto Part 167,PN00167,4,825,Location 10,2025-06-12 00:00:00,2025-09-12 00:00:00,ACTIVE,452.72,1078.94
Auto Part 168,Description for Auto Part 168,PN00168,54,220,Location 12,2025-01-09 00:00:00,2026-02-05 00:00:00,ACTIVE,411.29,790.67
Auto Part 169,Description for Auto Part 169,PN00169,9,362,Location 13,2025-06-27 00:00:00,2025-12-21 00:00:00,ACTIVE,232.03,448.38
Auto Part 170,Description for Auto Part 170,PN00170,60,318,Location 3,2025-07-17 00:00:00,2025-08-29 00:00:00,ACTIVE,426.22,583.48
Auto Part 171,Description for Auto Part 171,PN00171,26,471,Location 13,2025-05-31 00:00:00,2026-03-16 00:00:00,ACTIVE,262.61,634.97
Auto Part 172,Description for Auto Part 172,PN00172,47,871,Location 19,2025-10-13 00:00:00,2026-04-07 00:00:00,ACTIVE,148.71,322.94
Auto Part 173,Description for Auto Part 173,PN00173,24,382,Location 6,2025-10-11 00:00:00,2026-04-17 00:00:00,INACTIVE,495.27,923.85
Auto Part 174,Description for Auto Part 174,PN00174,44,92,Location 8,2026-02-11 00:00:00,2026-02-13 00:00:00,ACTIVE,363.38,672.73
Auto Part 175,Description for Auto Part 175,PN00175,4,555,Location 12,2026-04-14 00:00:00,2026-04-22 00:00:00,ACTIVE,102.78,153.02
Auto Part 176,Description for Auto Part 176,PN00176,54,299,Location 9,2026-03-09 00:00:00,2026-03-14 00:00:00,INACTIVE,298.4,636.05
Auto Part 177,Description for Auto Part 177,PN00177,64,237,Location 11,2026-01-19 00:00:00,2026-04-15 00:00:00,ACTIVE,446.92,933.18
Auto Part 178,Description for Auto Part 178,PN00178,13,733,Location 4,2025-07-11 00:00:00,2025-08-24 00:00:00,ACTIVE,283.57,382.75
Auto Part 179,Description for Auto Part 179,PN00179,50,754,Location 8,2025-08-20 00:00:00,2025-10-09 00:00:00,ACTIVE,343.38,456.9
Auto Part 180,Description for Auto Part 180,PN00180,63,148,Location 2,2025-02-15 00:00:00,2025-09-27 00:00:00,ACTIVE,231.29,340.32
Auto Part 181,Description for Auto Part 181,PN00181,70,951,Location 18,2025-03-15 00:00:00,2025-11-23 00:00:00,ACTIVE,104.03,163.45
Auto Part 182,Description for Auto Part 182,PN00182,41,321,Location 7,2025-11-12 00:00:00,2026-01-16 00:00:00,INACTIVE,173.6,234.77
Auto Part 183,Description for Auto Part 183,PN00183,1,247,Location 4,2025-12-16 00:00:00,2026-02-17 00:00:00,ACTIVE,160.8,250.74
Auto Part 184,Description for Auto Part 184,PN00184,26,208,Location 12,2026-02-22 00:00:00,2026-04-15 00:00:00,INACTIVE,412.36,793.66
Auto Part 185,Description for Auto Part 185,PN00185,46,502,Location 10,2026-03-15 00:00:00,2026-04-26 00:00:00,ACTIVE,154.31,361.74
Auto Part 186,Description for Auto Part 186,PN00186,67,74,Location 20,2025-03-09 00:00:00,2025-04-21 00:00:00,INACTIVE,281.08,338.55
Auto Part 187,Description for Auto Part 187,PN00187,8,583,Location 11,2026-03-03 00:00:00,2026-03-30 00:00:00,ACTIVE,79.63,186.17
