product_name                      , product_description, part_number, category_id, supplier_id, current_stock_level, storage_location, date_added, last_update, unit_cost, retail_price
Release Bearing                   , null               , null       ,          31,         228,                  50, null            , 10/24/2025, 5/23/2025  ,        11,           19
Throttle Body                     , null               , null       ,          12,         163,                  22, null            , 9/9/2025  , 1/5/2025   ,        27,           33
Motorcycle Engine Oil             , null               , null       ,          35,         584,                   9, null            , 3/8/2025  , 4/17/2026  ,         5,           28
Brake Pad Set                     , null               , null       ,          62,         956,                  64, null            , 9/19/2025 , 8/11/2025  ,         2,           59
Tie Rod End                       , null               , null       ,          51,         510,                 100, null            , 4/16/2026 , 6/15/2025  ,        25,           96
Timing Chain                      , null               , null       ,          23,          52,                  64, null            , 12/27/2025, 10/9/2025  ,        64,           47
Thermostat                        , null               , null       ,          35,         278,                  69, null            , 1/5/2026  , 7/14/2025  ,        56,           37
Air Filter                        , null               , null       ,          66,         528,                  72, null            , 1/6/2025  , 2/9/2026   ,        18,           24
Expansion Tank                    , null               , null       ,          31,         953,                  72, null            , 5/23/2025 , 4/9/2025   ,        60,           39
Timing Chain                      , null               , null       ,          30,         152,                  16, null            , 3/29/2025 , 2/5/2026   ,         2,            3
Spark Plug                        , null               , null       ,           4,         904,                  98, null            , 10/13/2025, 11/22/2025 ,        87,           71
Engine Oil - Fully Synthetic      , null               , null       ,          69,        1000,                  44, null            , 3/3/2025  , 12/21/2025 ,        63,            4
Control Arm                       , null               , null       ,          67,         800,                  18, null            , 7/18/2025 , 6/30/2025  ,        64,           93
Control Arm                       , null               , null       ,          33,         672,                  78, null            , 10/12/2025, 1/28/2026  ,        22,           41
Strut Assembly                    , null               , null       ,          22,         443,                   9, null            , 7/13/2025 , 7/5/2025   ,        86,           14
U-Joint                           , null               , null       ,          32,         268,                  45, null            , 2/7/2025  , 12/27/2025 ,        93,           38
Ball Joint                        , null               , null       ,           1,          21,                  92, null            , 2/6/2025  , 10/3/2025  ,        41,            7
Engine Oil - Mineral              , null               , null       ,          52,         505,                  29, null            , 4/19/2025 , 1/2/2025   ,        95,           67
Shock Absorber                    , null               , null       ,          60,          25,                  71, null            , 7/19/2025 , 5/10/2025  ,         1,            1
Tie Rod End                       , null               , null       ,          35,         498,                   4, null            , 2/28/2025 , 3/6/2025   ,        34,           23
Muffler                           , null               , null       ,          50,         428,                  61, null            , 11/17/2025, 9/23/2025  ,        54,           79
Handbrake Cable                   , null               , null       ,          59,         313,                   5, null            , 5/31/2025 , 10/3/2025  ,        81,           76
Engine Oil - Semi Synthetic       , null               , null       ,          23,         491,                  70, null            , 4/19/2025 , 10/31/2025 ,         6,           50
Timing Chain                      , null               , null       ,          36,         599,                  95, null            , 1/14/2026 , 12/21/2025 ,        48,           71
Air Filter                        , null               , null       ,          30,         816,                   2, null            , 7/8/2025  , 7/16/2025  ,         1,           88
Engine Oil - Mineral              , null               , null       ,          15,         483,                  38, null            , 11/22/2025, 2/27/2026  ,        49,           45
Clutch Disc                       , null               , null       ,          60,         398,                  47, null            , 1/5/2026  , 2/28/2026  ,        18,           30
Tie Rod End                       , null               , null       ,          39,         510,                  29, null            , 2/1/2025  , 4/10/2026  ,        36,           39
Release Bearing                   , null               , null       ,          53,           5,                  32, null            , 7/25/2025 , 4/13/2025  ,        40,           22
Expansion Tank                    , null               , null       ,          32,         822,                  25, null            , 8/28/2025 , 8/17/2025  ,        19,           26
Handbrake Cable                   , null               , null       ,           6,         485,                  78, null            , 4/11/2026 , 3/13/2026  ,        31,           90
Mass Air Flow Sensor              , null               , null       ,          21,         455,                  25, null            , 2/28/2026 , 1/21/2025  ,        94,           72
Fuel Pump                         , null               , null       ,          67,         558,                  26, null            , 1/26/2025 , 4/15/2025  ,         3,           59
Clutch Master Cylinder            , null               , null       ,          21,         157,                  93, null            , 11/23/2025, 10/26/2025 ,        51,           30
Engine Oil - Fully Synthetic      , null               , null       ,          60,         314,                 100, null            , 3/21/2026 , 8/6/2025   ,        68,           39
Release Bearing                   , null               , null       ,          12,         716,                  17, null            , 4/27/2025 , 6/23/2025  ,        53,           13
Oil Filter                        , null               , null       ,          20,         973,                  40, null            , 8/20/2025 , 4/4/2025   ,         6,           84
Brake Pad Set                     , null               , null       ,          32,          98,                  71, null            , 2/21/2026 , 2/4/2025   ,        60,           67
Tie Rod End                       , null               , null       ,          44,          60,                  91, null            , 9/18/2025 , 1/31/2025  ,        14,           44
Expansion Tank                    , null               , null       ,          12,         541,                  75, null            , 3/30/2025 , 7/2/2025   ,        61,           42
Radiator Hose                     , null               , null       ,          63,         552,                  77, null            , 9/6/2025  , 10/29/2025 ,        59,            2
Radiator                          , null               , null       ,          65,         712,                  87, null            , 3/20/2026 , 10/2/2025  ,        92,           19
Engine Oil - Semi Synthetic       , null               , null       ,          21,          11,                  75, null            , 10/11/2025, 6/29/2025  ,        65,           43
Thermostat                        , null               , null       ,          25,         814,                  37, null            , 9/9/2025  , 8/23/2025  ,        39,            5
Gear Oil                          , null               , null       ,          42,          87,                  71, null            , 5/9/2025  , 3/27/2025  ,        25,           10
Oil Filter                        , null               , null       ,          34,         262,                  40, null            , 2/1/2026  , 2/16/2026  ,        45,           72
Ignition Coil                     , null               , null       ,          11,         153,                  68, null            , 8/31/2025 , 7/31/2025  ,         1,           60
Muffler                           , null               , null       ,          19,         109,                   3, null            , 8/27/2025 , 1/10/2026  ,        25,           82
Manual Transmission Oil           , null               , null       ,          24,         929,                  76, null            , 2/17/2026 , 6/28/2025  ,         4,           83
Engine Oil - Fully Synthetic      , null               , null       ,          42,         102,                  95, null            , 6/22/2025 , 12/4/2025  ,         6,           64
Shock Absorber                    , null               , null       ,           3,          59,                  94, null            , 1/5/2026  , 4/4/2026   ,         6,           81
Power Steering Fluid              , null               , null       ,           4,         485,                  60, null            , 5/9/2025  , 1/19/2025  ,        84,            8
Brake Rotor                       , null               , null       ,          13,         213,                  70, null            , 2/28/2026 , 5/29/2025  ,        90,           67
Gear Oil                          , null               , null       ,          29,          66,                  17, null            , 4/12/2025 , 4/13/2025  ,        88,           65
Clutch Disc                       , null               , null       ,           2,         365,                  74, null            , 4/11/2026 , 5/1/2025   ,        73,           85
Clutch Slave Cylinder             , null               , null       ,           7,         823,                  43, null            , 7/19/2025 , 11/26/2025 ,        19,           51
Catalytic Converter               , null               , null       ,          69,         329,                  73, null            , 3/21/2026 , 5/29/2025  ,        58,           36
Starter Motor                     , null               , null       ,          57,         211,                  94, null            , 3/14/2025 , 1/19/2025  ,        24,           83
Serpentine Belt                   , null               , null       ,          37,         678,                  82, null            , 3/31/2025 , 5/22/2025  ,        86,           70
Control Arm                       , null               , null       ,          24,         380,                  19, null            , 9/28/2025 , 7/2/2025   ,        84,           42
Gear Oil                          , null               , null       ,          63,         458,                  92, null            , 7/7/2025  , 7/18/2025  ,        22,           92
Clutch Pressure Plate             , null               , null       ,          56,         744,                  50, null            , 3/1/2025  , 3/14/2026  ,        16,           84
Timing Chain                      , null               , null       ,          59,         638,                  67, null            , 3/26/2026 , 11/24/2025 ,        31,           23
Engine Mount                      , null               , null       ,          57,         181,                  22, null            , 4/13/2025 , 5/30/2025  ,        91,            9
Clutch Pressure Plate             , null               , null       ,          29,         868,                  84, null            , 3/30/2026 , 7/16/2025  ,        11,           56
Serpentine Belt                   , null               , null       ,          19,         735,                  97, null            , 6/6/2025  , 8/15/2025  ,        97,           86
Transmission Mount                , null               , null       ,          18,         632,                  89, null            , 9/17/2025 , 5/10/2025  ,       100,           79
Differential Oil Seal             , null               , null       ,           9,         306,                  70, null            , 8/29/2025 , 2/27/2026  ,        87,           94
Diesel Engine Oil                 , null               , null       ,          21,         123,                  82, null            , 1/24/2025 , 4/27/2025  ,        89,           54
Heater Hose                       , null               , null       ,           9,         875,                  41, null            , 1/21/2025 , 2/5/2026   ,        19,           87
Automatic Transmission Fluid (ATF), null               , null       ,          16,         821,                  10, null            , 11/30/2025, 7/1/2025   ,        94,           90
Valve Cover Gasket                , null               , null       ,          26,          15,                  14, null            , 5/7/2025  , 4/17/2025  ,        95,           65
Manual Transmission Oil           , null               , null       ,          30,         529,                  19, null            , 2/19/2026 , 5/27/2025  ,        27,          100
Brake Shoe Set                    , null               , null       ,          14,         531,                  81, null            , 3/13/2025 , 3/20/2026  ,        97,           36
Cooling Fan Motor                 , null               , null       ,          58,         722,                  94, null            , 3/7/2025  , 4/27/2025  ,        41,           85
Clutch Slave Cylinder             , null               , null       ,          50,         510,                  63, null            , 3/11/2026 , 7/4/2025   ,        26,           29
Mass Air Flow Sensor              , null               , null       ,          29,         242,                  37, null            , 9/7/2025  , 2/6/2025   ,         9,           30
Brake Master Cylinder             , null               , null       ,          38,          37,                  39, null            , 4/4/2025  , 3/19/2026  ,        49,           81
Heater Hose                       , null               , null       ,           7,         767,                  42, null            , 4/12/2026 , 1/28/2025  ,        25,           92
Radiator Fan                      , null               , null       ,          51,         533,                   9, null            , 3/11/2026 , 4/18/2025  ,        95,           46
Brake Caliper                     , null               , null       ,          48,         102,                  66, null            , 11/20/2025, 3/30/2025  ,        73,           78
Engine Oil - Fully Synthetic      , null               , null       ,          13,         788,                   1, null            , 2/22/2026 , 11/30/2025 ,        66,           22
Shock Absorber                    , null               , null       ,          44,         498,                  67, null            , 7/15/2025 , 3/21/2026  ,        22,           40
Timing Belt                       , null               , null       ,          52,         811,                  15, null            , 2/4/2026  , 8/3/2025   ,        61,           98
Coolant                           , null               , null       ,          10,         603,                  72, null            , 1/9/2026  , 11/10/2025 ,        70,           24
Muffler                           , null               , null       ,          47,          31,                  36, null            , 12/28/2025, 12/6/2025  ,        18,          100
Brake Shoe Set                    , null               , null       ,          51,         283,                  75, null            , 10/30/2025, 12/22/2025 ,        40,           59
Manual Transmission Oil           , null               , null       ,          57,         765,                  56, null            , 2/6/2026  , 4/3/2025   ,        88,           75
Manual Transmission Oil           , null               , null       ,          39,         879,                  59, null            , 3/24/2026 , 9/19/2025  ,        54,           16
Valve Cover Gasket                , null               , null       ,          22,         300,                  42, null            , 3/9/2025  , 9/21/2025  ,        34,           82
Motorcycle Engine Oil             , null               , null       ,           7,         591,                  85, null            , 5/11/2025 , 2/18/2025  ,        22,           42
Fuel Injector                     , null               , null       ,          24,         450,                  32, null            , 2/21/2026 , 8/18/2025  ,        96,           30
Tie Rod End                       , null               , null       ,          19,         915,                  65, null            , 4/2/2026  , 3/25/2025  ,        37,           42
Brake Rotor                       , null               , null       ,          59,          24,                  14, null            , 3/30/2025 , 4/20/2026  ,        68,           72
Valve Cover Gasket                , null               , null       ,          17,         714,                  41, null            , 10/1/2025 , 1/20/2025  ,        12,           79
Radiator Hose                     , null               , null       ,          46,         948,                  45, null            , 3/26/2025 , 9/25/2025  ,        46,           55
Fuel Pump                         , null               , null       ,          41,         629,                   5, null            , 3/31/2026 , 8/2/2025   ,        68,           33
Oxygen Sensor                     , null               , null       ,          70,         614,                  33, null            , 4/4/2026  , 9/22/2025  ,        86,           69
Alternator                        , null               , null       ,           1,         409,                  60, null            , 5/3/2025  , 1/5/2026   ,        60,            4
Clutch Slave Cylinder             , null               , null       ,          22,         145,                  72, null            , 4/2/2025  , 9/30/2025  ,         6,           55
Diesel Engine Oil                 , null               , null       ,          28,         819,                  93, null            , 7/5/2025  , 2/7/2025   ,         4,            2
Brake Caliper                     , null               , null       ,          45,         271,                  42, null            , 10/11/2025, 7/5/2025   ,         1,           24
Valve Cover Gasket                , null               , null       ,          70,         150,                  58, null            , 4/3/2025  , 10/17/2025 ,        12,           19
Brake Pad Set                     , null               , null       ,           2,         765,                  78, null            , 4/21/2025 , 4/2/2025   ,        82,           43
Water Pump                        , null               , null       ,           1,         473,                  30, null            , 8/21/2025 , 6/24/2025  ,        93,            2
Motorcycle Engine Oil             , null               , null       ,          55,         971,                  29, null            , 2/4/2026  , 11/10/2025 ,        66,           55
Tie Rod End                       , null               , null       ,          12,         628,                  43, null            , 1/19/2025 , 1/11/2025  ,        84,           97
Clutch Master Cylinder            , null               , null       ,          33,         195,                  87, null            , 2/13/2026 , 7/12/2025  ,        46,           35
Clutch Slave Cylinder             , null               , null       ,          31,         928,                  16, null            , 9/9/2025  , 3/14/2026  ,         6,           45
Catalytic Converter               , null               , null       ,           3,          55,                  29, null            , 1/24/2026 , 4/24/2025  ,        23,           94
Release Bearing                   , null               , null       ,          55,         878,                  74, null            , 11/25/2025, 3/3/2026   ,        38,           97
Serpentine Belt                   , null               , null       ,          57,         526,                  82, null            , 10/13/2025, 4/3/2025   ,         8,           63
Coolant                           , null               , null       ,          45,          88,                  74, null            , 11/17/2025, 5/25/2025  ,        61,           23
Radiator Hose                     , null               , null       ,          34,         962,                   7, null            , 2/11/2026 , 4/1/2025   ,        45,           87
Gear Oil                          , null               , null       ,           2,         797,                  51, null            , 8/21/2025 , 6/14/2025  ,        39,           50
CV Axle Shaft                     , null               , null       ,          67,         856,                  59, null            , 5/9/2025  , 3/22/2025  ,        44,           86
Brake Master Cylinder             , null               , null       ,          44,         964,                  33, null            , 4/15/2026 , 11/11/2025 ,        36,           72
CV Axle Shaft                     , null               , null       ,           1,          62,                  14, null            , 9/28/2025 , 4/2/2025   ,        91,           56
Manual Transmission Oil           , null               , null       ,          64,         336,                  10, null            , 9/16/2025 , 2/25/2025  ,        75,           16
Ignition Coil                     , null               , null       ,          19,         655,                  62, null            , 1/14/2026 , 11/12/2025 ,        67,            6
Catalytic Converter               , null               , null       ,          48,           9,                  76, null            , 2/28/2026 , 5/1/2025   ,        98,           74
Automatic Transmission Fluid (ATF), null               , null       ,          37,          73,                  58, null            , 3/20/2025 , 4/14/2025  ,         2,           49
Starter Motor                     , null               , null       ,          42,         918,                  31, null            , 9/11/2025 , 2/13/2026  ,        66,           18
Air Filter                        , null               , null       ,          31,         166,                  71, null            , 3/6/2025  , 3/14/2025  ,        38,           82
Engine Oil - Mineral              , null               , null       ,          15,         265,                   8, null            , 7/16/2025 , 5/1/2025   ,        32,           17
Differential Oil                  , null               , null       ,          61,         362,                  69, null            , 4/28/2025 , 1/3/2025   ,        91,           86
Fuel Injector                     , null               , null       ,          11,         792,                  97, null            , 1/15/2026 , 4/1/2025   ,        42,           81
Heater Hose                       , null               , null       ,          24,         705,                  90, null            , 4/14/2026 , 1/6/2026   ,        61,            3
Catalytic Converter               , null               , null       ,          43,           5,                  53, null            , 4/20/2026 , 1/18/2026  ,        16,           38
Oil Pan Gasket                    , null               , null       ,          49,         417,                  27, null            , 6/19/2025 , 10/13/2025 ,        61,           21
Clutch Pressure Plate             , null               , null       ,          39,         298,                  57, null            , 11/24/2025, 10/7/2025  ,        48,           74
Wheel Bearing Hub                 , null               , null       ,          12,         461,                  61, null            , 8/2/2025  , 3/15/2026  ,        70,           43
Differential Oil                  , null               , null       ,          24,         286,                  65, null            , 8/4/2025  , 10/6/2025  ,        30,           82
Thermostat                        , null               , null       ,          36,         164,                  36, null            , 2/15/2025 , 9/10/2025  ,        50,           82
Shock Absorber                    , null               , null       ,          67,         581,                  50, null            , 10/25/2025, 11/20/2025 ,        16,           24
Diesel Engine Oil                 , null               , null       ,          12,         440,                  84, null            , 4/27/2025 , 4/5/2026   ,        13,           21
Thermostat                        , null               , null       ,          62,         214,                  27, null            , 4/17/2026 , 4/7/2025   ,        94,          100
Strut Assembly                    , null               , null       ,          19,         102,                  75, null            , 1/1/2025  , 9/22/2025  ,        81,           62
Handbrake Cable                   , null               , null       ,           6,         770,                  39, null            , 12/6/2025 , 3/12/2025  ,        22,           18
Brake Shoe Set                    , null               , null       ,           3,         858,                  14, null            , 2/23/2025 , 8/6/2025   ,        72,           97
Control Arm                       , null               , null       ,          56,         793,                  73, null            , 8/5/2025  , 9/8/2025   ,        95,           96
Brake Shoe Set                    , null               , null       ,           7,         357,                  75, null            , 1/22/2026 , 1/7/2026   ,        29,           62
Water Pump                        , null               , null       ,          12,         393,                  51, null            , 1/31/2026 , 6/14/2025  ,        21,           65
Brake Master Cylinder             , null               , null       ,          69,         875,                   7, null            , 6/3/2025  , 10/5/2025  ,        99,           57
Control Arm                       , null               , null       ,          56,         354,                  18, null            , 12/19/2025, 7/27/2025  ,        55,           20
Wheel Bearing Hub                 , null               , null       ,          36,         317,                  15, null            , 11/15/2025, 10/18/2025 ,        81,           79
Power Steering Fluid              , null               , null       ,          57,         313,                  92, null            , 8/14/2025 , 11/14/2025 ,        66,           49
Fuel Pump                         , null               , null       ,          47,         579,                  77, null            , 2/12/2025 , 12/27/2025 ,        11,           26
Engine Oil - Semi Synthetic       , null               , null       ,          47,         710,                  61, null            , 11/1/2025 , 3/23/2026  ,        67,           64
Strut Assembly                    , null               , null       ,          30,         504,                  64, null            , 1/9/2026  , 3/23/2026  ,        10,           52
Radiator Fan                      , null               , null       ,          44,         731,                  69, null            , 5/6/2025  , 8/1/2025   ,        12,            2
Mass Air Flow Sensor              , null               , null       ,          43,         417,                  20, null            , 2/15/2025 , 2/27/2025  ,         1,           82
Radiator Hose                     , null               , null       ,          34,         947,                  17, null            , 3/9/2026  , 11/13/2025 ,         7,           93
Diesel Engine Oil                 , null               , null       ,          36,         430,                  10, null            , 5/13/2025 , 3/25/2025  ,        32,           14
Wheel Bearing Hub                 , null               , null       ,          69,         303,                  61, null            , 2/15/2025 , 1/30/2026  ,         7,           18
U-Joint                           , null               , null       ,          35,         109,                  57, null            , 1/21/2026 , 3/31/2026  ,        25,           25
Radiator Hose                     , null               , null       ,          44,         721,                  78, null            , 11/2/2025 , 2/13/2025  ,        62,            2
CV Axle Shaft                     , null               , null       ,          33,         374,                  12, null            , 10/30/2025, 3/20/2026  ,        47,            1
Catalytic Converter               , null               , null       ,           2,         442,                  44, null            , 3/18/2026 , 10/15/2025 ,        51,           10
Clutch Disc                       , null               , null       ,          30,         733,                  15, null            , 5/24/2025 , 12/15/2025 ,         4,           33
Thermostat                        , null               , null       ,          69,         897,                  87, null            , 4/25/2025 , 11/29/2025 ,       100,           56
Muffler                           , null               , null       ,          21,         349,                  56, null            , 1/12/2025 , 4/8/2025   ,        79,           76
Expansion Tank                    , null               , null       ,          39,         756,                  63, null            , 1/6/2025  , 6/6/2025   ,        38,            9
Water Pump                        , null               , null       ,          13,         969,                  56, null            , 9/15/2025 , 2/7/2026   ,        85,           83
Handbrake Cable                   , null               , null       ,          27,         709,                  17, null            , 12/23/2025, 11/5/2025  ,        33,           27
Coolant                           , null               , null       ,          34,         756,                  94, null            , 2/20/2025 , 3/22/2025  ,        87,           66
Brake Fluid                       , null               , null       ,          25,         856,                  30, null            , 11/27/2025, 5/12/2025  ,        16,           86
Clutch Disc                       , null               , null       ,          44,         297,                  23, null            , 4/21/2025 , 9/27/2025  ,        24,           85
Handbrake Cable                   , null               , null       ,          59,         985,                  74, null            , 3/3/2026  , 1/17/2026  ,         7,            3
Clutch Pressure Plate             , null               , null       ,          40,         736,                  64, null            , 2/10/2026 , 7/21/2025  ,        85,           69
Shock Absorber                    , null               , null       ,          12,         138,                  14, null            , 2/27/2025 , 9/8/2025   ,         7,           52
Fuel Pump                         , null               , null       ,          62,         197,                  51, null            , 3/15/2026 , 2/7/2026   ,        77,           53
Tie Rod End                       , null               , null       ,          65,         886,                  97, null            , 6/11/2025 , 12/13/2025 ,        56,           27
Fuel Injector                     , null               , null       ,          68,         430,                  52, null            , 5/28/2025 , 9/12/2025  ,        61,           98
Strut Assembly                    , null               , null       ,          51,         573,                  33, null            , 3/28/2026 , 3/26/2026  ,         8,           65
Clutch Slave Cylinder             , null               , null       ,           6,         571,                  50, null            , 4/6/2025  , 2/19/2026  ,         3,           52
Coolant                           , null               , null       ,          38,         769,                   5, null            , 4/17/2025 , 1/8/2025   ,        60,           36
Coolant                           , null               , null       ,          20,         521,                  86, null            , 5/21/2025 , 8/18/2025  ,        66,           47
Timing Chain                      , null               , null       ,          48,         982,                  29, null            , 1/18/2026 , 7/17/2025  ,        43,           82
Transmission Mount                , null               , null       ,          21,         899,                   5, null            , 11/7/2025 , 2/25/2026  ,        77,           56
Differential Oil Seal             , null               , null       ,          45,         969,                  56, null            , 4/7/2025  , 12/29/2025 ,        31,           85
Serpentine Belt                   , null               , null       ,          54,         215,                  61, null            , 5/21/2025 , 8/3/2025   ,        74,           74
Wheel Bearing Hub                 , null               , null       ,          56,         851,                  47, null            , 2/1/2025  , 1/5/2025   ,        62,           44
Brake Fluid                       , null               , null       ,          22,         539,                  64, null            , 8/4/2025  , 2/3/2025   ,        84,           59
Oil Filter                        , null               , null       ,          65,         419,                  71, null            , 9/3/2025  , 1/27/2025  ,        38,            4
Brake Shoe Set                    , null               , null       ,          65,         736,                  33, null            , 3/1/2026  , 12/13/2025 ,        63,           56
Power Steering Pump               , null               , null       ,          57,         953,                  85, null            , 7/30/2025 , 12/4/2025  ,        11,           92
Spark Plug                        , null               , null       ,          27,         519,                  26, null            , 10/13/2025, 2/21/2026  ,        78,           17
Muffler                           , null               , null       ,          58,         936,                  50, null            , 1/24/2026 , 7/3/2025   ,        67,           16
Cooling Fan Motor                 , null               , null       ,          10,         875,                  85, null            , 2/19/2026 , 2/25/2025  ,        22,           61
Clutch Master Cylinder            , null               , null       ,           6,         563,                  25, null            , 3/19/2025 , 2/8/2026   ,        40,           85
U-Joint                           , null               , null       ,          53,         625,                  51, null            , 12/11/2025, 12/16/2025 ,        61,           43
Thermostat                        , null               , null       ,          23,         424,                   5, null            , 2/20/2025 , 2/22/2026  ,        91,           78
Oxygen Sensor                     , null               , null       ,          44,         981,                  43, null            , 1/9/2025  , 9/6/2025   ,        73,           65
Diesel Engine Oil                 , null               , null       ,          57,         646,                  21, null            , 1/26/2026 , 3/16/2026  ,        16,           72
Radiator                          , null               , null       ,          63,          68,                   8, null            , 10/20/2025, 2/25/2025  ,        93,           38
Differential Oil Seal             , null               , null       ,          15,         241,                  16, null            , 3/16/2026 , 3/10/2026  ,        45,           49
Wheel Bearing Hub                 , null               , null       ,          49,         345,                  39, null            , 3/7/2025  , 4/7/2026   ,        55,           36
Starter Motor                     , null               , null       ,          19,         438,                  89, null            , 1/23/2026 , 12/30/2025 ,        83,           32
Brake Pad Set                     , null               , null       ,          11,         951,                  81, null            , 9/24/2025 , 1/8/2025   ,        38,           50
Diesel Engine Oil                 , null               , null       ,          61,         348,                  50, null            , 7/1/2025  , 10/9/2025  ,        15,           69
Water Pump                        , null               , null       ,          49,         503,                  33, null            , 12/2/2025 , 5/20/2025  ,        93,           56
Tie Rod End                       , null               , null       ,          30,         577,                  25, null            , 1/25/2025 , 10/30/2025 ,        29,           31
Starter Motor                     , null               , null       ,          46,         986,                   8, null            , 4/18/2026 , 2/17/2025  ,        45,           18
Brake Rotor                       , null               , null       ,          70,         658,                   8, null            , 6/19/2025 , 4/4/2025   ,        74,           82
Serpentine Belt                   , null               , null       ,          39,         944,                  94, null            , 3/5/2026  , 1/4/2025   ,         2,           18
Engine Mount                      , null               , null       ,          37,         853,                   7, null            , 3/9/2025  , 1/23/2026  ,        66,           97
Oil Pan Gasket                    , null               , null       ,          48,         970,                  28, null            , 1/3/2026  , 9/8/2025   ,        81,           53
Fuel Injector                     , null               , null       ,          39,         253,                   7, null            , 11/2/2025 , 7/23/2025  ,        96,           82
CV Axle Shaft                     , null               , null       ,           9,         156,                   5, null            , 4/8/2026  , 9/17/2025  ,        73,           58
Brake Pad Set                     , null               , null       ,          42,         527,                  69, null            , 1/27/2025 , 10/24/2025 ,        93,           12
Brake Pad Set                     , null               , null       ,          64,         452,                  64, null            , 11/10/2025, 12/23/2025 ,        29,           43
Oil Filter                        , null               , null       ,          37,         624,                  16, null            , 12/24/2025, 3/3/2025   ,       100,           59
Expansion Tank                    , null               , null       ,           7,         132,                  82, null            , 3/8/2026  , 4/7/2026   ,        26,           24
Brake Rotor                       , null               , null       ,          64,         885,                  20, null            , 2/27/2025 , 1/7/2025   ,        45,           89
Manual Transmission Oil           , null               , null       ,          12,         689,                  79, null            , 4/11/2026 , 1/8/2025   ,        48,           35
Muffler                           , null               , null       ,           5,         285,                  82, null            , 12/9/2025 , 5/19/2025  ,        63,           56
U-Joint                           , null               , null       ,          50,         150,                  43, null            , 1/29/2026 , 3/28/2025  ,        88,           56
Shock Absorber                    , null               , null       ,          17,         553,                  71, null            , 3/10/2026 , 10/5/2025  ,        38,            7
